sweep,variant,nx,ny,niter,num_gpus,run_id,runtime_s,runtime_serial_s,nccl_graph_mixing
Csmall,nccl_graphs,128,16384,5000,4,1,0.134787,0.166177,1
Csmall,nccl_graphs,128,16384,5000,4,1,0.265708,0.168773,0
Csmall,nccl_graphs,128,16384,5000,4,2,0.131981,0.175882,1
Csmall,nccl_graphs,128,16384,5000,4,2,0.117043,0.177919,0
Csmall,nccl_graphs,128,16384,5000,4,3,0.119574,0.178038,1
Csmall,nccl_graphs,128,16384,5000,4,3,0.117045,0.175423,0
Csmall,nccl_graphs,128,16384,5000,4,4,0.139467,0.170175,1
Csmall,nccl_graphs,128,16384,5000,4,4,0.116835,0.165565,0
Csmall,nccl_graphs,128,16384,5000,4,5,0.137384,0.175771,1
Csmall,nccl_graphs,128,16384,5000,4,5,0.114078,0.165825,0
Csmall,nccl_graphs,128,16384,5000,8,1,0.142252,0.167593,1
Csmall,nccl_graphs,128,16384,5000,8,1,0.134690,0.171337,0
Csmall,nccl_graphs,128,16384,5000,8,2,0.253590,0.167704,1
Csmall,nccl_graphs,128,16384,5000,8,2,0.135119,0.173739,0
Csmall,nccl_graphs,128,16384,5000,8,3,0.303222,0.170188,1
Csmall,nccl_graphs,128,16384,5000,8,3,0.137203,0.175631,0
Csmall,nccl_graphs,128,16384,5000,8,4,0.145920,0.149339,1
Csmall,nccl_graphs,128,16384,5000,8,4,0.142147,0.150737,0
Csmall,nccl_graphs,128,16384,5000,8,5,0.323141,0.173935,1
Csmall,nccl_graphs,128,16384,5000,8,5,0.299706,0.172501,0
Csmall,nccl_graphs,512,16384,5000,4,1,0.160680,0.337229,1
Csmall,nccl_graphs,512,16384,5000,4,1,0.166691,0.336296,0
Csmall,nccl_graphs,512,16384,5000,4,2,0.165275,0.335652,1
Csmall,nccl_graphs,512,16384,5000,4,2,0.341146,0.342414,0
Csmall,nccl_graphs,512,16384,5000,4,3,0.163433,0.334650,1
Csmall,nccl_graphs,512,16384,5000,4,3,0.173918,0.357073,0
Csmall,nccl_graphs,512,16384,5000,4,4,0.174681,0.348315,1
Csmall,nccl_graphs,512,16384,5000,4,4,0.171370,0.343826,0
Csmall,nccl_graphs,512,16384,5000,4,5,0.450149,0.340394,1
Csmall,nccl_graphs,512,16384,5000,4,5,0.251154,0.343817,0
Csmall,nccl_graphs,512,16384,5000,8,1,0.150056,0.361578,1
Csmall,nccl_graphs,512,16384,5000,8,1,0.290574,0.351232,0
Csmall,nccl_graphs,512,16384,5000,8,2,0.251255,0.347915,1
Csmall,nccl_graphs,512,16384,5000,8,2,0.146980,0.336206,0
Csmall,nccl_graphs,512,16384,5000,8,3,0.159201,0.334104,1
Csmall,nccl_graphs,512,16384,5000,8,3,0.295573,0.334962,0
Csmall,nccl_graphs,512,16384,5000,8,4,0.322661,0.351724,1
Csmall,nccl_graphs,512,16384,5000,8,4,0.138784,0.344973,0
Csmall,nccl_graphs,512,16384,5000,8,5,0.139655,0.340611,1
Csmall,nccl_graphs,512,16384,5000,8,5,0.148464,0.336653,0
