sweep,variant,nx,ny,niter,num_gpus,run_id,runtime_s,runtime_serial_s,nccl_graph_mixing
Cgraph,nccl_graphs,16384,16384,1000,1,1,1.523010,1.513065,1
Cgraph,nccl_graphs,16384,16384,1000,1,1,1.521032,1.512759,0
Cgraph,nccl_graphs,16384,16384,1000,1,2,1.527008,1.512865,1
Cgraph,nccl_graphs,16384,16384,1000,1,2,1.525744,1.513776,0
Cgraph,nccl_graphs,16384,16384,1000,1,3,1.523971,1.515248,1
Cgraph,nccl_graphs,16384,16384,1000,1,3,1.521276,1.511754,0
Cgraph,nccl_graphs,16384,16384,1000,2,1,0.771424,1.512031,1
Cgraph,nccl_graphs,16384,16384,1000,2,1,0.773216,1.512659,0
Cgraph,nccl_graphs,16384,16384,1000,2,2,0.771953,1.512809,1
Cgraph,nccl_graphs,16384,16384,1000,2,2,0.772520,1.510931,0
Cgraph,nccl_graphs,16384,16384,1000,2,3,0.771631,1.513462,1
Cgraph,nccl_graphs,16384,16384,1000,2,3,0.800359,1.514259,0
Cgraph,nccl_graphs,16384,16384,1000,4,1,0.429131,1.518429,1
Cgraph,nccl_graphs,16384,16384,1000,4,1,0.406095,1.514259,0
Cgraph,nccl_graphs,16384,16384,1000,4,2,0.405306,1.511348,1
Cgraph,nccl_graphs,16384,16384,1000,4,2,0.428325,1.511494,0
Cgraph,nccl_graphs,16384,16384,1000,4,3,0.406370,1.510310,1
Cgraph,nccl_graphs,16384,16384,1000,4,3,0.437920,1.511421,0
Cgraph,nccl_graphs,16384,16384,1000,8,1,0.222790,1.513660,1
Cgraph,nccl_graphs,16384,16384,1000,8,1,0.218537,1.511861,0
Cgraph,nccl_graphs,16384,16384,1000,8,2,0.218985,1.510828,1
Cgraph,nccl_graphs,16384,16384,1000,8,2,0.219114,1.510445,0
Cgraph,nccl_graphs,16384,16384,1000,8,3,0.217735,1.520374,1
Cgraph,nccl_graphs,16384,16384,1000,8,3,0.235024,1.520356,0
