sweep,variant,nx,ny,niter,num_gpus,run_id,runtime_s,runtime_serial_s,extra
A2,nccl,16384,16384,1000,8,1,0.258182,1.489997,
A2,nccl,16384,16384,1000,8,2,0.265646,1.488524,
A2,nccl_graphs,16384,16384,1000,8,1,0.224380,1.491966,
A2,nccl_graphs,16384,16384,1000,8,2,0.237594,1.488953,
A2,nvshmem,16384,16384,1000,8,1,5.786070,1.733120,
A2,nvshmem,16384,16384,1000,8,2,5.698333,1.730312,
A2,nvshmem_block,16384,16384,1000,8,1,0.303385,1.732888,block
A2,nvshmem_block,16384,16384,1000,8,2,0.298480,1.732265,block
A2,nvshmem_block_nbsync,16384,16384,1000,8,1,0.284992,1.731286,block,nbsync
A2,nvshmem_block_nbsync,16384,16384,1000,8,2,0.279898,1.731265,block,nbsync
B2,nccl,2048,16384,1000,8,1,0.071794,0.202588,
B2,nccl,2048,16384,1000,8,2,0.072606,0.205602,
