sweep,variant,nx,ny,niter,num_gpus,run_id,runtime_s,runtime_serial_s,extra
A,mpi,16384,16384,1000,2,1,1.199736,1.513531,
A,mpi,16384,16384,1000,2,2,1.726892,1.515434,
A,mpi,16384,16384,1000,2,3,1.710693,1.514380,
A,mpi_overlap,16384,16384,1000,2,1,0.772083,1.512966,
A,mpi_overlap,16384,16384,1000,2,2,1.047079,1.513212,
A,mpi_overlap,16384,16384,1000,2,3,0.772811,1.513058,
A,nccl,16384,16384,1000,2,1,0.799045,1.510643,
A,nccl,16384,16384,1000,2,2,0.796608,1.511949,
A,nccl,16384,16384,1000,2,3,0.796217,1.513353,
A,nccl_graphs,16384,16384,1000,2,1,0.774408,1.512804,
A,nccl_graphs,16384,16384,1000,2,2,0.775472,1.512965,
A,nccl_graphs,16384,16384,1000,2,3,0.772567,1.514818,
A,nccl_overlap,16384,16384,1000,2,1,0.780428,1.512610,
A,nccl_overlap,16384,16384,1000,2,2,0.773474,1.511280,
A,nccl_overlap,16384,16384,1000,2,3,0.775059,1.512526,
A,nvshmem,16384,16384,1000,2,1,0.903151,1.774336,
A,nvshmem,16384,16384,1000,2,2,0.901659,1.765864,
A,nvshmem,16384,16384,1000,2,3,0.906904,1.768562,
A,nvshmem_block,16384,16384,1000,2,1,0.922074,1.766774,block
A,nvshmem_block_nbsync,16384,16384,1000,2,1,0.920866,1.767049,block,nbsync
A,nvshmem_block,16384,16384,1000,2,2,0.926155,1.768400,block
A,nvshmem_block_nbsync,16384,16384,1000,2,2,0.932856,1.772541,block,nbsync
A,nvshmem_block,16384,16384,1000,2,3,0.921936,1.766298,block
A,nvshmem_block_nbsync,16384,16384,1000,2,3,0.931284,1.768028,block,nbsync
A,mpi,16384,16384,1000,4,1,1.534101,1.513623,
A,mpi,16384,16384,1000,4,2,1.515886,1.512117,
A,mpi,16384,16384,1000,4,3,1.507086,1.514831,
A,mpi_overlap,16384,16384,1000,4,1,0.785689,1.513363,
A,mpi_overlap,16384,16384,1000,4,2,1.303974,1.512370,
A,mpi_overlap,16384,16384,1000,4,3,1.132115,1.513416,
A,nccl,16384,16384,1000,4,1,0.419683,1.511623,
A,nccl,16384,16384,1000,4,2,0.414683,1.512052,
A,nccl,16384,16384,1000,4,3,0.414863,1.511747,
A,nccl_graphs,16384,16384,1000,4,1,0.418438,1.512384,
A,nccl_graphs,16384,16384,1000,4,2,0.401514,1.511660,
A,nccl_graphs,16384,16384,1000,4,3,0.431798,1.512946,
A,nccl_overlap,16384,16384,1000,4,1,0.405227,1.512615,
A,nccl_overlap,16384,16384,1000,4,2,0.408067,1.511602,
A,nccl_overlap,16384,16384,1000,4,3,0.404330,1.512701,
A,nvshmem,16384,16384,1000,4,1,0.468812,1.769973,
A,nvshmem,16384,16384,1000,4,2,0.469389,1.766749,
A,nvshmem,16384,16384,1000,4,3,0.467778,1.765884,
A,nvshmem_block,16384,16384,1000,4,1,0.481198,1.771618,block
A,nvshmem_block_nbsync,16384,16384,1000,4,1,0.477639,1.771863,block,nbsync
A,nvshmem_block,16384,16384,1000,4,2,0.478402,1.766411,block
A,nvshmem_block_nbsync,16384,16384,1000,4,2,0.476300,1.770197,block,nbsync
A,nvshmem_block,16384,16384,1000,4,3,0.478034,1.768015,block
A,nvshmem_block_nbsync,16384,16384,1000,4,3,0.478176,1.765891,block,nbsync
A,mpi,16384,16384,1000,8,1,2.148494,1.513995,
A,mpi,16384,16384,1000,8,2,2.182797,1.511418,
A,mpi,16384,16384,1000,8,3,2.244274,1.512236,
A,mpi_overlap,16384,16384,1000,8,1,2.086954,1.512924,
A,mpi_overlap,16384,16384,1000,8,2,2.041677,1.512670,
A,mpi_overlap,16384,16384,1000,8,3,1.964907,1.511838,
A,nccl,16384,16384,1000,8,1,0.235646,1.512686,
A,nccl,16384,16384,1000,8,2,0.232290,1.511716,
A,nccl,16384,16384,1000,8,3,0.232931,1.511570,
A,nccl_graphs,16384,16384,1000,8,1,0.220867,1.511242,
A,nccl_graphs,16384,16384,1000,8,2,0.220434,1.512669,
A,nccl_graphs,16384,16384,1000,8,3,0.218439,1.518253,
A,nccl_overlap,16384,16384,1000,8,1,0.220602,1.512684,
A,nccl_overlap,16384,16384,1000,8,2,0.221165,1.520173,
A,nccl_overlap,16384,16384,1000,8,3,0.223234,1.511612,
A,nvshmem,16384,16384,1000,8,1,0.253210,1.779605,
A,nvshmem,16384,16384,1000,8,2,0.253629,1.771779,
A,nvshmem,16384,16384,1000,8,3,0.256074,1.775615,
A,nvshmem_block,16384,16384,1000,8,1,0.260605,1.770243,block
A,nvshmem_block_nbsync,16384,16384,1000,8,1,0.257299,1.778699,block,nbsync
A,nvshmem_block,16384,16384,1000,8,2,0.259917,1.778234,block
A,nvshmem_block_nbsync,16384,16384,1000,8,2,0.257799,1.772052,block,nbsync
A,nvshmem_block,16384,16384,1000,8,3,0.259891,1.771668,block
A,nvshmem_block_nbsync,16384,16384,1000,8,3,0.257141,1.769575,block,nbsync
B,nccl,2048,16384,1000,8,1,0.055798,0.207030,
B,nccl,2048,16384,1000,8,2,0.055558,0.206834,
B,nccl,2048,16384,1000,8,3,0.055687,0.205733,
B,nccl_graphs,2048,16384,1000,8,1,0.126832,0.205290,
B,nccl_graphs,2048,16384,1000,8,2,0.101322,0.211711,
B,nccl_graphs,2048,16384,1000,8,3,0.102311,0.208139,
B,nvshmem,2048,16384,1000,8,1,0.051958,0.234547,
B,nvshmem,2048,16384,1000,8,2,0.052253,0.235592,
B,nvshmem,2048,16384,1000,8,3,0.051741,0.233965,
B,nvshmem_block_nbsync,2048,16384,1000,8,1,0.053431,0.236002,block,nbsync
B,nvshmem_block_nbsync,2048,16384,1000,8,2,0.053040,0.234102,block,nbsync
B,nvshmem_block_nbsync,2048,16384,1000,8,3,0.055828,0.234054,block,nbsync
B,nccl,4096,16384,1000,8,1,0.084564,0.394419,
B,nccl,4096,16384,1000,8,2,0.083461,0.393329,
B,nccl,4096,16384,1000,8,3,0.081356,0.394539,
B,nccl_graphs,4096,16384,1000,8,1,0.079008,0.394087,
B,nccl_graphs,4096,16384,1000,8,2,0.129139,0.392265,
B,nccl_graphs,4096,16384,1000,8,3,0.077311,0.391911,
B,nvshmem,4096,16384,1000,8,1,0.089810,0.452612,
B,nvshmem,4096,16384,1000,8,2,0.089107,0.452813,
B,nvshmem,4096,16384,1000,8,3,0.088216,0.452168,
B,nvshmem_block_nbsync,4096,16384,1000,8,1,0.091842,0.452603,block,nbsync
B,nvshmem_block_nbsync,4096,16384,1000,8,2,0.086096,0.450655,block,nbsync
B,nvshmem_block_nbsync,4096,16384,1000,8,3,0.086691,0.451300,block,nbsync
