Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         11.878400         0.000         0.001       
8           2         int32     sum       t         12.153600         0.001         0.001       
16          4         int32     sum       t         12.342400         0.001         0.002       
32          8         int32     sum       t         13.008000         0.002         0.004       
64          16        int32     sum       t         15.443200         0.004         0.007       
128         32        int32     sum       t         18.886399         0.007         0.012       
256         64        int32     sum       t         26.812801         0.010         0.017       
512         128       int32     sum       t         43.235201         0.012         0.021       
1024        256       int32     sum       t         76.179200         0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         12.233600         0.000         0.001       
8           2         int32     prod      t         12.185600         0.001         0.001       
16          4         int32     prod      t         12.086400         0.001         0.002       
32          8         int32     prod      t         12.950400         0.002         0.004       
64          16        int32     prod      t         14.608000         0.004         0.008       
128         32        int32     prod      t         20.454399         0.006         0.011       
256         64        int32     prod      t         26.864001         0.010         0.017       
512         128       int32     prod      t         43.267199         0.012         0.021       
1024        256       int32     prod      t         76.828802         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.272000         0.000         0.001       
8           2         int32     and       t         12.371200         0.001         0.001       
16          4         int32     and       t         12.089600         0.001         0.002       
32          8         int32     and       t         12.921600         0.002         0.004       
64          16        int32     and       t         14.707200         0.004         0.008       
128         32        int32     and       t         18.723200         0.007         0.012       
256         64        int32     and       t         27.523199         0.009         0.016       
512         128       int32     and       t         43.215999         0.012         0.021       
1024        256       int32     and       t         76.796800         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         12.124800         0.000         0.001       
8           2         int32     or        t         12.195200         0.001         0.001       
