Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         44.428799         0.000         0.000       
8           2         int32     sum       t         42.195201         0.000         0.000       
16          4         int32     sum       t         43.961599         0.000         0.001       
32          8         int32     sum       t         43.654400         0.001         0.001       
64          16        int32     sum       t         46.905601         0.001         0.003       
128         32        int32     sum       t         51.814401         0.002         0.005       
256         64        int32     sum       t         61.561602         0.004         0.008       
512         128       int32     sum       t         82.873601         0.006         0.012       
1024        256       int32     sum       t         122.464001        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         41.945601         0.000         0.000       
8           2         int32     prod      t         40.409601         0.000         0.000       
16          4         int32     prod      t         43.520001         0.000         0.001       
32          8         int32     prod      t         41.856000         0.001         0.001       
64          16        int32     prod      t         45.299199         0.001         0.003       
128         32        int32     prod      t         50.227201         0.003         0.005       
256         64        int32     prod      t         61.676800         0.004         0.008       
512         128       int32     prod      t         81.440002         0.006         0.012       
1024        256       int32     prod      t         122.118402        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         42.054400         0.000         0.000       
8           2         int32     and       t         43.699199         0.000         0.000       
16          4         int32     and       t         40.288001         0.000         0.001       
32          8         int32     and       t         42.092800         0.001         0.001       
64          16        int32     and       t         46.796799         0.001         0.003       
128         32        int32     and       t         50.278401         0.003         0.005       
256         64        int32     and       t         61.683202         0.004         0.008       
512         128       int32     and       t         81.177598         0.006         0.012       
1024        256       int32     and       t         122.214401        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         41.881600         0.000         0.000       
8           2         int32     or        t         42.086399         0.000         0.000       
16          4         int32     or        t         42.003199         0.000         0.001       
32          8         int32     or        t         43.603200         0.001         0.001       
64          16        int32     or        t         45.196801         0.001         0.003       
128         32        int32     or        t         50.227201         0.003         0.005       
256         64        int32     or        t         60.204798         0.004         0.008       
512         128       int32     or        t         82.963198         0.006         0.012       
1024        256       int32     or        t         122.278404        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         42.163199         0.000         0.000       
8           2         int32     xor       t         43.526399         0.000         0.000       
16          4         int32     xor       t         42.304000         0.000         0.001       
32          8         int32     xor       t         43.635201         0.001         0.001       
64          16        int32     xor       t         45.228800         0.001         0.003       
128         32        int32     xor       t         51.769602         0.002         0.005       
256         64        int32     xor       t         60.179198         0.004         0.008       
512         128       int32     xor       t         81.279999         0.006         0.012       
1024        256       int32     xor       t         122.195196        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         41.785601         0.000         0.000       
8           2         int32     min       t         41.990399         0.000         0.000       
16          4         int32     min       t         42.118400         0.000         0.001       
32          8         int32     min       t         42.214400         0.001         0.001       
64          16        int32     min       t         45.087999         0.001         0.003       
128         32        int32     min       t         50.143999         0.003         0.005       
256         64        int32     min       t         61.612803         0.004         0.008       
512         128       int32     min       t         81.529599         0.006         0.012       
1024        256       int32     min       t         123.865604        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       t         45.171201         0.000         0.000       
8           2         int32     max       t         41.356799         0.000         0.000       
16          4         int32     max       t         42.054400         0.000         0.001       
32          8         int32     max       t         41.939199         0.001         0.001       
64          16        int32     max       t         45.401600         0.001         0.003       
128         32        int32     max       t         58.374399         0.002         0.004       
256         64        int32     max       t         59.929597         0.004         0.008       
512         128       int32     max       t         82.950401         0.006         0.012       
1024        256       int32     max       t         122.348797        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       t         42.016000         0.000         0.000       
16          2         int64     sum       t         42.124799         0.000         0.001       
32          4         int64     sum       t         43.660799         0.001         0.001       
64          8         int64     sum       t         43.647999         0.001         0.003       
128         16        int64     sum       t         47.910401         0.003         0.005       
256         32        int64     sum       t         55.155200         0.005         0.009       
512         64        int64     sum       t         72.985601         0.007         0.013       
1024        128       int64     sum       t         99.219197         0.010         0.019       
2048        256       int64     sum       t         158.278406        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      t         42.124799         0.000         0.000       
16          2         int64     prod      t         40.371200         0.000         0.001       
32          4         int64     prod      t         43.596801         0.001         0.001       
64          8         int64     prod      t         43.680000         0.001         0.003       
128         16        int64     prod      t         48.550400         0.003         0.005       
256         32        int64     prod      t         55.219197         0.005         0.009       
512         64        int64     prod      t         68.287998         0.007         0.014       
1024        128       int64     prod      t         100.934398        0.010         0.019       
2048        256       int64     prod      t         161.683202        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       t         41.843200         0.000         0.000       
16          2         int64     and       t         42.067200         0.000         0.001       
32          4         int64     and       t         42.048001         0.001         0.001       
64          8         int64     and       t         45.286399         0.001         0.003       
128         16        int64     and       t         46.777600         0.003         0.005       
256         32        int64     and       t         53.408003         0.005         0.009       
512         64        int64     and       t         69.881600         0.007         0.014       
1024        128       int64     and       t         96.070403         0.011         0.020       
2048        256       int64     and       t         154.892802        0.013         0.025       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        t         41.907200         0.000         0.000       
16          2         int64     or        t         40.511999         0.000         0.001       
32          4         int64     or        t         42.073601         0.001         0.001       
64          8         int64     or        t         43.584001         0.001         0.003       
128         16        int64     or        t         48.460799         0.003         0.005       
256         32        int64     or        t         55.136001         0.005         0.009       
512         64        int64     or        t         69.772798         0.007         0.014       
1024        128       int64     or        t         99.315202         0.010         0.019       
2048        256       int64     or        t         156.640005        0.013         0.025       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       t         41.907200         0.000         0.000       
16          2         int64     xor       t         512.441587        0.000         0.000       
32          4         int64     xor       t         38.956800         0.001         0.002       
64          8         int64     xor       t         43.820801         0.001         0.003       
128         16        int64     xor       t         48.422399         0.003         0.005       
256         32        int64     xor       t         53.523201         0.005         0.009       
512         64        int64     xor       t         69.772798         0.007         0.014       
1024        128       int64     xor       t         97.766399         0.010         0.020       
2048        256       int64     xor       t         156.652796        0.013         0.025       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       t         43.430400         0.000         0.000       
16          2         int64     min       t         41.951999         0.000         0.001       
32          4         int64     min       t         41.971201         0.001         0.001       
64          8         int64     min       t         45.721599         0.001         0.003       
128         16        int64     min       t         48.716801         0.003         0.005       
256         32        int64     min       t         55.052799         0.005         0.009       
512         64        int64     min       t         71.507198         0.007         0.013       
1024        128       int64     min       t         100.876796        0.010         0.019       
2048        256       int64     min       t         161.644804        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       t         41.843200         0.000         0.000       
16          2         int64     max       t         40.345600         0.000         0.001       
32          4         int64     max       t         41.920000         0.001         0.001       
64          8         int64     max       t         42.060801         0.002         0.003       
128         16        int64     max       t         46.963200         0.003         0.005       
256         32        int64     max       t         55.103999         0.005         0.009       
512         64        int64     max       t         69.811201         0.007         0.014       
1024        128       int64     max       t         100.870395        0.010         0.019       
2048        256       int64     max       t         161.747205        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       w         41.907200         0.000         0.000       
8           2         int32     sum       w         41.984001         0.000         0.000       
16          4         int32     sum       w         43.520001         0.000         0.001       
32          8         int32     sum       w         43.558401         0.001         0.001       
64          16        int32     sum       w         43.724799         0.001         0.003       
128         32        int32     sum       w         43.711999         0.003         0.005       
256         64        int32     sum       w         45.203200         0.006         0.011       
512         128       int32     sum       w         45.280001         0.011         0.021       
1024        256       int32     sum       w         51.718402         0.020         0.037       
2048        512       int32     sum       w         61.638403         0.033         0.062       
4096        1024      int32     sum       w         81.369603         0.050         0.094       
8192        2048      int32     sum       w         120.787203        0.068         0.127       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      w         43.584001         0.000         0.000       
8           2         int32     prod      w         42.041600         0.000         0.000       
16          4         int32     prod      w         43.820801         0.000         0.001       
32          8         int32     prod      w         43.718401         0.001         0.001       
64          16        int32     prod      w         42.035201         0.002         0.003       
128         32        int32     prod      w         41.881600         0.003         0.006       
256         64        int32     prod      w         43.577600         0.006         0.011       
512         128       int32     prod      w         46.918401         0.011         0.020       
1024        256       int32     prod      w         51.897597         0.020         0.037       
2048        512       int32     prod      w         59.897602         0.034         0.064       
4096        1024      int32     prod      w         81.363201         0.050         0.094       
8192        2048      int32     prod      w         119.001603        0.069         0.129       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       w         42.067200         0.000         0.000       
8           2         int32     and       w         42.048001         0.000         0.000       
16          4         int32     and       w         43.647999         0.000         0.001       
32          8         int32     and       w         41.881600         0.001         0.001       
64          16        int32     and       w         41.984001         0.002         0.003       
128         32        int32     and       w         40.480000         0.003         0.006       
256         64        int32     and       w         45.363200         0.006         0.011       
512         128       int32     and       w         46.860799         0.011         0.020       
1024        256       int32     and       w         50.201601         0.020         0.038       
2048        512       int32     and       w         60.012800         0.034         0.064       
4096        1024      int32     and       w         83.135998         0.049         0.092       
8192        2048      int32     and       w         120.556796        0.068         0.127       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        w         41.849601         0.000         0.000       
8           2         int32     or        w         43.571201         0.000         0.000       
16          4         int32     or        w         42.163199         0.000         0.001       
32          8         int32     or        w         43.641600         0.001         0.001       
64          16        int32     or        w         42.080000         0.002         0.003       
128         32        int32     or        w         43.596801         0.003         0.006       
256         64        int32     or        w         41.913599         0.006         0.011       
512         128       int32     or        w         46.912000         0.011         0.020       
1024        256       int32     or        w         50.208002         0.020         0.038       
2048        512       int32     or        w         60.057598         0.034         0.064       
4096        1024      int32     or        w         81.151998         0.050         0.095       
8192        2048      int32     or        w         120.627201        0.068         0.127       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       w         43.577600         0.000         0.000       
8           2         int32     xor       w         43.776000         0.000         0.000       
16          4         int32     xor       w         42.048001         0.000         0.001       
32          8         int32     xor       w         41.932800         0.001         0.001       
64          16        int32     xor       w         43.660799         0.001         0.003       
128         32        int32     xor       w         43.635201         0.003         0.006       
256         64        int32     xor       w         43.686399         0.006         0.011       
512         128       int32     xor       w         48.416001         0.011         0.020       
1024        256       int32     xor       w         50.118399         0.020         0.038       
2048        512       int32     xor       w         61.536002         0.033         0.062       
4096        1024      int32     xor       w         81.542403         0.050         0.094       
8192        2048      int32     xor       w         120.665598        0.068         0.127       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       w         43.494400         0.000         0.000       
8           2         int32     min       w         41.951999         0.000         0.000       
16          4         int32     min       w         43.622401         0.000         0.001       
32          8         int32     min       w         43.686399         0.001         0.001       
64          16        int32     min       w         42.080000         0.002         0.003       
128         32        int32     min       w         43.456000         0.003         0.006       
256         64        int32     min       w         43.551999         0.006         0.011       
512         128       int32     min       w         46.867201         0.011         0.020       
1024        256       int32     min       w         50.393599         0.020         0.038       
2048        512       int32     min       w         60.031998         0.034         0.064       
4096        1024      int32     min       w         79.731202         0.051         0.096       
8192        2048      int32     min       w         120.620799        0.068         0.127       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       w         43.539199         0.000         0.000       
8           2         int32     max       w         42.111999         0.000         0.000       
16          4         int32     max       w         41.913599         0.000         0.001       
32          8         int32     max       w         41.932800         0.001         0.001       
64          16        int32     max       w         42.009601         0.002         0.003       
128         32        int32     max       w         42.144001         0.003         0.006       
256         64        int32     max       w         45.356801         0.006         0.011       
512         128       int32     max       w         46.873599         0.011         0.020       
1024        256       int32     max       w         50.163198         0.020         0.038       
2048        512       int32     max       w         58.291203         0.035         0.066       
4096        1024      int32     max       w         79.737598         0.051         0.096       
8192        2048      int32     max       w         120.646405        0.068         0.127       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       w         43.596801         0.000         0.000       
16          2         int64     sum       w         41.920000         0.000         0.001       
32          4         int64     sum       w         41.894400         0.001         0.001       
