Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         13.324800         0.000         0.001       
8           2         int32     sum       t         12.524800         0.001         0.001       
16          4         int32     sum       t         14.419200         0.001         0.002       
32          8         int32     sum       t         14.156801         0.002         0.004       
64          16        int32     sum       t         16.000000         0.004         0.007       
128         32        int32     sum       t         20.646399         0.006         0.011       
256         64        int32     sum       t         28.921601         0.009         0.015       
512         128       int32     sum       t         45.139199         0.011         0.020       
1024        256       int32     sum       t         78.060800         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         12.371200         0.000         0.001       
8           2         int32     prod      t         12.550400         0.001         0.001       
16          4         int32     prod      t         14.022399         0.001         0.002       
32          8         int32     prod      t         14.054400         0.002         0.004       
64          16        int32     prod      t         17.343999         0.004         0.006       
128         32        int32     prod      t         20.697600         0.006         0.011       
256         64        int32     prod      t         28.863999         0.009         0.016       
512         128       int32     prod      t         45.305601         0.011         0.020       
1024        256       int32     prod      t         78.028798         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.614401         0.000         0.001       
8           2         int32     and       t         14.284800         0.001         0.001       
16          4         int32     and       t         14.201599         0.001         0.002       
32          8         int32     and       t         14.144000         0.002         0.004       
64          16        int32     and       t         15.788800         0.004         0.007       
128         32        int32     and       t         20.761600         0.006         0.011       
256         64        int32     and       t         28.985599         0.009         0.015       
512         128       int32     and       t         45.145601         0.011         0.020       
1024        256       int32     and       t         77.971202         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         12.384000         0.000         0.001       
8           2         int32     or        t         12.659200         0.001         0.001       
16          4         int32     or        t         14.144000         0.001         0.002       
32          8         int32     or        t         14.214399         0.002         0.004       
64          16        int32     or        t         15.744001         0.004         0.007       
128         32        int32     or        t         20.716800         0.006         0.011       
256         64        int32     or        t         28.953600         0.009         0.015       
512         128       int32     or        t         45.292801         0.011         0.020       
1024        256       int32     or        t         78.009599         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         12.390400         0.000         0.001       
8           2         int32     xor       t         12.441600         0.001         0.001       
16          4         int32     xor       t         14.310400         0.001         0.002       
32          8         int32     xor       t         14.233600         0.002         0.004       
64          16        int32     xor       t         15.744001         0.004         0.007       
128         32        int32     xor       t         20.614401         0.006         0.011       
256         64        int32     xor       t         29.062399         0.009         0.015       
512         128       int32     xor       t         45.376000         0.011         0.020       
1024        256       int32     xor       t         78.041601         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         12.377600         0.000         0.001       
8           2         int32     min       t         12.486400         0.001         0.001       
16          4         int32     min       t         14.188799         0.001         0.002       
32          8         int32     min       t         14.118400         0.002         0.004       
64          16        int32     min       t         15.660800         0.004         0.007       
128         32        int32     min       t         20.640001         0.006         0.011       
256         64        int32     min       t         28.723201         0.009         0.016       
512         128       int32     min       t         45.331201         0.011         0.020       
1024        256       int32     min       t         78.169602         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       t         12.352000         0.000         0.001       
8           2         int32     max       t         12.403200         0.001         0.001       
16          4         int32     max       t         14.105600         0.001         0.002       
32          8         int32     max       t         14.265600         0.002         0.004       
64          16        int32     max       t         15.808000         0.004         0.007       
128         32        int32     max       t         19.155200         0.007         0.012       
256         64        int32     max       t         28.908801         0.009         0.015       
512         128       int32     max       t         45.241600         0.011         0.020       
1024        256       int32     max       t         77.958399         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       t         14.227200         0.001         0.001       
16          2         int64     sum       t         12.512000         0.001         0.002       
32          4         int64     sum       t         14.144000         0.002         0.004       
64          8         int64     sum       t         14.176001         0.005         0.008       
128         16        int64     sum       t         17.715199         0.007         0.013       
256         32        int64     sum       t         24.051200         0.011         0.019       
512         64        int64     sum       t         35.251200         0.015         0.025       
1024        128       int64     sum       t         59.923202         0.017         0.030       
2048        256       int64     sum       t         109.094405        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      t         12.672000         0.001         0.001       
16          2         int64     prod      t         14.195199         0.001         0.002       
32          4         int64     prod      t         12.748800         0.003         0.004       
64          8         int64     prod      t         15.628800         0.004         0.007       
128         16        int64     prod      t         17.427200         0.007         0.013       
256         32        int64     prod      t         24.096000         0.011         0.019       
512         64        int64     prod      t         37.036800         0.014         0.024       
1024        128       int64     prod      t         61.574399         0.017         0.029       
2048        256       int64     prod      t         110.707200        0.018         0.032       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       t         12.524800         0.001         0.001       
16          2         int64     and       t         12.550400         0.001         0.002       
32          4         int64     and       t         14.022399         0.002         0.004       
64          8         int64     and       t         14.220800         0.005         0.008       
128         16        int64     and       t         17.254400         0.007         0.013       
256         32        int64     and       t         24.057600         0.011         0.019       
512         64        int64     and       t         35.488001         0.014         0.025       
1024        128       int64     and       t         58.406401         0.018         0.031       
2048        256       int64     and       t         107.494402        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        t         12.467200         0.001         0.001       
16          2         int64     or        t         12.537600         0.001         0.002       
32          4         int64     or        t         14.201599         0.002         0.004       
64          8         int64     or        t         14.105600         0.005         0.008       
128         16        int64     or        t         17.408000         0.007         0.013       
256         32        int64     or        t         23.916800         0.011         0.019       
512         64        int64     or        t         35.526401         0.014         0.025       
1024        128       int64     or        t         58.399999         0.018         0.031       
2048        256       int64     or        t         107.558405        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       t         12.563200         0.001         0.001       
16          2         int64     xor       t         12.473600         0.001         0.002       
32          4         int64     xor       t         14.169601         0.002         0.004       
64          8         int64     xor       t         15.788800         0.004         0.007       
128         16        int64     xor       t         17.312001         0.007         0.013       
256         32        int64     xor       t         23.878400         0.011         0.019       
512         64        int64     xor       t         35.328001         0.014         0.025       
1024        128       int64     xor       t         58.336002         0.018         0.031       
2048        256       int64     xor       t         107.718396        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       t         14.240000         0.001         0.001       
16          2         int64     min       t         12.512000         0.001         0.002       
32          4         int64     min       t         14.182401         0.002         0.004       
64          8         int64     min       t         15.775999         0.004         0.007       
128         16        int64     min       t         17.382400         0.007         0.013       
256         32        int64     min       t         23.807999         0.011         0.019       
512         64        int64     min       t         37.279999         0.014         0.024       
1024        128       int64     min       t         61.644799         0.017         0.029       
2048        256       int64     min       t         110.943997        0.018         0.032       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       t         12.505600         0.001         0.001       
16          2         int64     max       t         12.563200         0.001         0.002       
32          4         int64     max       t         14.041600         0.002         0.004       
64          8         int64     max       t         15.712000         0.004         0.007       
128         16        int64     max       t         17.292801         0.007         0.013       
256         32        int64     max       t         23.840000         0.011         0.019       
512         64        int64     max       t         35.385600         0.014         0.025       
1024        128       int64     max       t         61.516798         0.017         0.029       
