Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     sum       t         60.051203         0.001         0.001       
128         32        int32     sum       t         61.001599         0.002         0.002       
256         64        int32     sum       t         60.537601         0.004         0.004       
512         128       int32     sum       t         60.508800         0.008         0.008       
1024        256       int32     sum       t         60.608000         0.017         0.016       
2048        512       int32     sum       t         60.009599         0.034         0.032       
4096        1024      int32     sum       t         60.406399         0.068         0.064       
8192        2048      int32     sum       t         59.926403         0.137         0.128       
16384       4096      int32     sum       t         61.129600         0.268         0.251       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     prod      t         59.942400         0.001         0.001       
128         32        int32     prod      t         60.246402         0.002         0.002       
256         64        int32     prod      t         60.176003         0.004         0.004       
512         128       int32     prod      t         60.207999         0.009         0.008       
1024        256       int32     prod      t         60.278398         0.017         0.016       
2048        512       int32     prod      t         60.419202         0.034         0.032       
4096        1024      int32     prod      t         60.393602         0.068         0.064       
8192        2048      int32     prod      t         59.974402         0.137         0.128       
16384       4096      int32     prod      t         59.897602         0.274         0.256       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     and       t         61.398399         0.001         0.001       
128         32        int32     and       t         60.588801         0.002         0.002       
256         64        int32     and       t         59.942400         0.004         0.004       
512         128       int32     and       t         61.241603         0.008         0.008       
1024        256       int32     and       t         60.207999         0.017         0.016       
2048        512       int32     and       t         60.617602         0.034         0.032       
4096        1024      int32     and       t         60.291201         0.068         0.064       
8192        2048      int32     and       t         61.078399         0.134         0.126       
16384       4096      int32     and       t         60.937601         0.269         0.252       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     or        t         60.464001         0.001         0.001       
128         32        int32     or        t         60.806400         0.002         0.002       
256         64        int32     or        t         60.751998         0.004         0.004       
512         128       int32     or        t         61.484802         0.008         0.008       
1024        256       int32     or        t         59.990400         0.017         0.016       
2048        512       int32     or        t         60.188800         0.034         0.032       
4096        1024      int32     or        t         60.492802         0.068         0.063       
8192        2048      int32     or        t         59.129602         0.139         0.130       
16384       4096      int32     or        t         60.412800         0.271         0.254       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     xor       t         60.150403         0.001         0.001       
128         32        int32     xor       t         60.044801         0.002         0.002       
256         64        int32     xor       t         60.137600         0.004         0.004       
512         128       int32     xor       t         60.464001         0.008         0.008       
1024        256       int32     xor       t         60.832000         0.017         0.016       
2048        512       int32     xor       t         59.891200         0.034         0.032       
4096        1024      int32     xor       t         60.339200         0.068         0.064       
8192        2048      int32     xor       t         61.423999         0.133         0.125       
16384       4096      int32     xor       t         62.304002         0.263         0.247       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     min       t         60.655999         0.001         0.001       
128         32        int32     min       t         61.635202         0.002         0.002       
256         64        int32     min       t         62.790400         0.004         0.004       
512         128       int32     min       t         60.377598         0.008         0.008       
1024        256       int32     min       t         60.524797         0.017         0.016       
2048        512       int32     min       t         60.332799         0.034         0.032       
4096        1024      int32     min       t         61.756802         0.066         0.062       
8192        2048      int32     min       t         60.979199         0.134         0.126       
16384       4096      int32     min       t         60.521603         0.271         0.254       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     max       t         60.633600         0.001         0.001       
128         32        int32     max       t         60.864002         0.002         0.002       
256         64        int32     max       t         60.124803         0.004         0.004       
512         128       int32     max       t         61.187202         0.008         0.008       
1024        256       int32     max       t         61.238402         0.017         0.016       
2048        512       int32     max       t         60.803199         0.034         0.032       
4096        1024      int32     max       t         59.836799         0.068         0.064       
8192        2048      int32     max       t         60.921597         0.134         0.126       
16384       4096      int32     max       t         60.361600         0.271         0.254       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     sum       t         61.203200         0.002         0.002       
256         32        int64     sum       t         60.556799         0.004         0.004       
512         64        int64     sum       t         60.358399         0.008         0.008       
1024        128       int64     sum       t         60.476798         0.017         0.016       
2048        256       int64     sum       t         61.088002         0.034         0.031       
4096        512       int64     sum       t         60.281599         0.068         0.064       
8192        1024      int64     sum       t         60.332799         0.136         0.127       
16384       2048      int64     sum       t         60.671997         0.270         0.253       
32768       4096      int64     sum       t         60.326397         0.543         0.509       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     prod      t         62.099200         0.002         0.002       
256         32        int64     prod      t         59.430403         0.004         0.004       
512         64        int64     prod      t         59.571201         0.009         0.008       
1024        128       int64     prod      t         59.731197         0.017         0.016       
2048        256       int64     prod      t         59.609598         0.034         0.032       
4096        512       int64     prod      t         61.199999         0.067         0.063       
8192        1024      int64     prod      t         59.897602         0.137         0.128       
16384       2048      int64     prod      t         60.348803         0.271         0.255       
32768       4096      int64     prod      t         60.153598         0.545         0.511       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     and       t         61.369598         0.002         0.002       
256         32        int64     and       t         63.414401         0.004         0.004       
512         64        int64     and       t         60.124803         0.009         0.008       
1024        128       int64     and       t         60.086399         0.017         0.016       
2048        256       int64     and       t         60.259199         0.034         0.032       
4096        512       int64     and       t         60.505599         0.068         0.063       
8192        1024      int64     and       t         60.412800         0.136         0.127       
16384       2048      int64     and       t         60.671997         0.270         0.253       
32768       4096      int64     and       t         60.361600         0.543         0.509       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     or        t         60.832000         0.002         0.002       
256         32        int64     or        t         60.646403         0.004         0.004       
512         64        int64     or        t         60.179198         0.009         0.008       
1024        128       int64     or        t         59.718400         0.017         0.016       
2048        256       int64     or        t         60.079998         0.034         0.032       
4096        512       int64     or        t         60.630399         0.068         0.063       
8192        1024      int64     or        t         60.422403         0.136         0.127       
16384       2048      int64     or        t         59.987199         0.273         0.256       
32768       4096      int64     or        t         60.518402         0.541         0.508       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     xor       t         59.983999         0.002         0.002       
256         32        int64     xor       t         60.505599         0.004         0.004       
512         64        int64     xor       t         60.336000         0.008         0.008       
1024        128       int64     xor       t         60.179198         0.017         0.016       
2048        256       int64     xor       t         60.483199         0.034         0.032       
4096        512       int64     xor       t         59.798402         0.068         0.064       
8192        1024      int64     xor       t         59.945601         0.137         0.128       
16384       2048      int64     xor       t         60.470402         0.271         0.254       
32768       4096      int64     xor       t         60.703999         0.540         0.506       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     min       t         60.563201         0.002         0.002       
256         32        int64     min       t         60.272002         0.004         0.004       
512         64        int64     min       t         60.326397         0.008         0.008       
1024        128       int64     min       t         60.451198         0.017         0.016       
2048        256       int64     min       t         60.140800         0.034         0.032       
4096        512       int64     min       t         59.993601         0.068         0.064       
8192        1024      int64     min       t         61.615998         0.133         0.125       
16384       2048      int64     min       t         60.483199         0.271         0.254       
32768       4096      int64     min       t         59.328002         0.552         0.518       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     max       t         61.206400         0.002         0.002       
256         32        int64     max       t         62.655997         0.004         0.004       
512         64        int64     max       t         60.563201         0.008         0.008       
1024        128       int64     max       t         60.159999         0.017         0.016       
2048        256       int64     max       t         60.671997         0.034         0.032       
4096        512       int64     max       t         60.265601         0.068         0.064       
8192        1024      int64     max       t         60.492802         0.135         0.127       
16384       2048      int64     max       t         60.342401         0.272         0.255       
32768       4096      int64     max       t         60.899198         0.538         0.504       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     sum       w         62.233597         0.001         0.001       
128         32        int32     sum       w         62.268800         0.002         0.002       
256         64        int32     sum       w         61.606401         0.004         0.004       
512         128       int32     sum       w         62.275201         0.008         0.008       
1024        256       int32     sum       w         62.246400         0.016         0.015       
2048        512       int32     sum       w         62.015998         0.033         0.031       
4096        1024      int32     sum       w         62.419200         0.066         0.062       
8192        2048      int32     sum       w         61.420798         0.133         0.125       
16384       4096      int32     sum       w         62.483197         0.262         0.246       
32768       8192      int32     sum       w         61.468798         0.533         0.500       
65536       16384     int32     sum       w         63.123202         1.038         0.973       
131072      32768     int32     sum       w         61.795199         2.121         1.989       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     prod      w         62.592000         0.001         0.001       
128         32        int32     prod      w         61.174399         0.002         0.002       
256         64        int32     prod      w         62.108803         0.004         0.004       
512         128       int32     prod      w         62.383997         0.008         0.008       
1024        256       int32     prod      w         62.492800         0.016         0.015       
2048        512       int32     prod      w         61.427200         0.033         0.031       
4096        1024      int32     prod      w         62.131202         0.066         0.062       
