Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         13.235199         0.000         0.001       
8           2         int32     sum       t         12.646399         0.001         0.001       
16          4         int32     sum       t         14.374401         0.001         0.002       
32          8         int32     sum       t         14.150400         0.002         0.004       
64          16        int32     sum       t         17.452800         0.004         0.006       
128         32        int32     sum       t         20.620801         0.006         0.011       
256         64        int32     sum       t         27.481601         0.009         0.016       
512         128       int32     sum       t         43.532801         0.012         0.021       
1024        256       int32     sum       t         79.776001         0.013         0.022       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         12.352000         0.000         0.001       
8           2         int32     prod      t         12.448000         0.001         0.001       
16          4         int32     prod      t         12.518400         0.001         0.002       
32          8         int32     prod      t         14.086400         0.002         0.004       
64          16        int32     prod      t         15.827200         0.004         0.007       
128         32        int32     prod      t         19.103999         0.007         0.012       
256         64        int32     prod      t         27.174401         0.009         0.016       
512         128       int32     prod      t         43.718401         0.012         0.020       
1024        256       int32     prod      t         77.868801         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.556800         0.000         0.001       
8           2         int32     and       t         12.512000         0.001         0.001       
16          4         int32     and       t         12.396800         0.001         0.002       
32          8         int32     and       t         14.118400         0.002         0.004       
64          16        int32     and       t         15.686400         0.004         0.007       
128         32        int32     and       t         19.136000         0.007         0.012       
256         64        int32     and       t         27.449599         0.009         0.016       
512         128       int32     and       t         43.564799         0.012         0.021       
1024        256       int32     and       t         76.486403         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         13.984001         0.000         0.001       
8           2         int32     or        t         12.569600         0.001         0.001       
16          4         int32     or        t         14.137600         0.001         0.002       
32          8         int32     or        t         14.048000         0.002         0.004       
64          16        int32     or        t         15.616000         0.004         0.007       
128         32        int32     or        t         19.174400         0.007         0.012       
256         64        int32     or        t         27.270401         0.009         0.016       
512         128       int32     or        t         45.747200         0.011         0.020       
1024        256       int32     or        t         77.932799         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         14.041600         0.000         0.000       
8           2         int32     xor       t         12.358400         0.001         0.001       
16          4         int32     xor       t         12.608001         0.001         0.002       
32          8         int32     xor       t         14.291200         0.002         0.004       
64          16        int32     xor       t         15.654400         0.004         0.007       
128         32        int32     xor       t         19.020800         0.007         0.012       
256         64        int32     xor       t         28.844801         0.009         0.016       
512         128       int32     xor       t         43.654400         0.012         0.021       
1024        256       int32     xor       t         76.454401         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         12.371200         0.000         0.001       
8           2         int32     min       t         14.028800         0.001         0.001       
16          4         int32     min       t         12.512000         0.001         0.002       
32          8         int32     min       t         14.310400         0.002         0.004       
64          16        int32     min       t         15.750401         0.004         0.007       
128         32        int32     min       t         19.027200         0.007         0.012       
256         64        int32     min       t         27.206400         0.009         0.016       
512         128       int32     min       t         43.654400         0.012         0.021       
1024        256       int32     min       t         78.099197         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       t         12.428800         0.000         0.001       
8           2         int32     max       t         12.448000         0.001         0.001       
16          4         int32     max       t         12.384000         0.001         0.002       
32          8         int32     max       t         14.156801         0.002         0.004       
64          16        int32     max       t         15.833600         0.004         0.007       
128         32        int32     max       t         20.544000         0.006         0.011       
256         64        int32     max       t         27.263999         0.009         0.016       
512         128       int32     max       t         43.539199         0.012         0.021       
1024        256       int32     max       t         76.512003         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       t         14.118400         0.001         0.001       
16          2         int64     sum       t         12.512000         0.001         0.002       
32          4         int64     sum       t         13.977601         0.002         0.004       
64          8         int64     sum       t         14.144000         0.005         0.008       
128         16        int64     sum       t         17.433600         0.007         0.013       
256         32        int64     sum       t         24.083200         0.011         0.019       
512         64        int64     sum       t         35.462400         0.014         0.025       
1024        128       int64     sum       t         60.006398         0.017         0.030       
2048        256       int64     sum       t         109.049594        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      t         12.499200         0.001         0.001       
16          2         int64     prod      t         12.486400         0.001         0.002       
32          4         int64     prod      t         12.569600         0.003         0.004       
64          8         int64     prod      t         15.699200         0.004         0.007       
128         16        int64     prod      t         17.350399         0.007         0.013       
256         32        int64     prod      t         23.904000         0.011         0.019       
512         64        int64     prod      t         36.127999         0.014         0.025       
1024        128       int64     prod      t         59.878403         0.017         0.030       
2048        256       int64     prod      t         110.771203        0.018         0.032       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       t         12.556800         0.001         0.001       
16          2         int64     and       t         12.639999         0.001         0.002       
32          4         int64     and       t         14.041600         0.002         0.004       
64          8         int64     and       t         13.964801         0.005         0.008       
128         16        int64     and       t         17.388800         0.007         0.013       
256         32        int64     and       t         23.987199         0.011         0.019       
512         64        int64     and       t         33.913600         0.015         0.026       
1024        128       int64     and       t         58.208001         0.018         0.031       
2048        256       int64     and       t         105.689597        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        t         13.952000         0.001         0.001       
16          2         int64     or        t         12.518400         0.001         0.002       
32          4         int64     or        t         12.505600         0.003         0.004       
64          8         int64     or        t         14.073600         0.005         0.008       
128         16        int64     or        t         17.363200         0.007         0.013       
256         32        int64     or        t         23.891200         0.011         0.019       
512         64        int64     or        t         35.519999         0.014         0.025       
1024        128       int64     or        t         58.387202         0.018         0.031       
2048        256       int64     or        t         105.804801        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       t         12.384000         0.001         0.001       
16          2         int64     xor       t         12.339200         0.001         0.002       
32          4         int64     xor       t         12.537600         0.003         0.004       
64          8         int64     xor       t         15.872000         0.004         0.007       
128         16        int64     xor       t         17.350399         0.007         0.013       
256         32        int64     xor       t         23.840000         0.011         0.019       
512         64        int64     xor       t         35.251200         0.015         0.025       
1024        128       int64     xor       t         58.752000         0.017         0.031       
2048        256       int64     xor       t         106.048000        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       t         14.176001         0.001         0.001       
16          2         int64     min       t         12.390400         0.001         0.002       
32          4         int64     min       t         14.035200         0.002         0.004       
64          8         int64     min       t         14.105600         0.005         0.008       
128         16        int64     min       t         17.491201         0.007         0.013       
256         32        int64     min       t         23.904000         0.011         0.019       
512         64        int64     min       t         35.494399         0.014         0.025       
