Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 1 device name: NVIDIA H200 bus id: 45 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_g_bw
size(B)     scope     BW (GB/sec)     
4           None      0.001801        
8           None      0.003698        
16          None      0.007416        
32          None      0.014802        
64          None      0.029682        
128         None      0.059400        
256         None      0.118941        
512         None      0.237389        
1024        None      0.470865        
2048        None      0.909866        
4096        None      1.823881        
8192        None      3.458525        
16384       None      5.066298        
32768       None      6.476914        
65536       None      7.219911        
131072      None      8.090384        
262144      None      8.453553        
524288      None      8.652576        
1048576     None      8.755973        
2097152     None      8.817277        
4194304     None      8.842081        
8388608     None      8.847434        
16777216    None      7.472916        
33554432    None      7.400993        
