Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     or        t         11.033600         0.006         0.005       
128         16        int64     or        t         11.139200         0.011         0.010       
256         32        int64     or        t         11.068800         0.023         0.020       
512         64        int64     or        t         10.982400         0.047         0.041       
1024        128       int64     or        t         11.462400         0.089         0.078       
2048        256       int64     or        t         11.043200         0.185         0.162       
4096        512       int64     or        t         11.027200         0.371         0.325       
8192        1024      int64     or        t         11.049600         0.741         0.649       
16384       2048      int64     or        t         10.998400         1.490         1.303       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     xor       t         11.027200         0.006         0.005       
128         16        int64     xor       t         11.267200         0.011         0.010       
256         32        int64     xor       t         11.104000         0.023         0.020       
512         64        int64     xor       t         11.132800         0.046         0.040       
1024        128       int64     xor       t         11.033600         0.093         0.081       
2048        256       int64     xor       t         11.014400         0.186         0.163       
4096        512       int64     xor       t         11.510400         0.356         0.311       
8192        1024      int64     xor       t         11.020800         0.743         0.650       
16384       2048      int64     xor       t         11.062400         1.481         1.296       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     min       t         11.065600         0.006         0.005       
128         16        int64     min       t         11.110400         0.012         0.010       
256         32        int64     min       t         11.001600         0.023         0.020       
512         64        int64     min       t         11.168000         0.046         0.040       
1024        128       int64     min       t         11.171200         0.092         0.080       
2048        256       int64     min       t         11.043200         0.185         0.162       
4096        512       int64     min       t         11.414400         0.359         0.314       
8192        1024      int64     min       t         11.107200         0.738         0.645       
16384       2048      int64     min       t         11.580800         1.415         1.238       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     max       t         11.129600         0.006         0.005       
128         16        int64     max       t         11.004800         0.012         0.010       
