Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     or        t         42.118400         0.002         0.003       
128         16        int64     or        t         47.251201         0.003         0.005       
256         32        int64     or        t         53.747201         0.005         0.009       
512         64        int64     or        t         71.718401         0.007         0.013       
1024        128       int64     or        t         98.035198         0.010         0.020       
2048        256       int64     or        t         156.799996        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       t         42.022401         0.000         0.000       
16          2         int64     xor       t         42.323199         0.000         0.001       
32          4         int64     xor       t         42.470399         0.001         0.001       
64          8         int64     xor       t         45.638400         0.001         0.003       
128         16        int64     xor       t         45.407999         0.003         0.005       
256         32        int64     xor       t         55.270398         0.005         0.009       
512         64        int64     xor       t         69.939202         0.007         0.014       
1024        128       int64     xor       t         98.048002         0.010         0.020       
2048        256       int64     xor       t         155.411196        0.013         0.025       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       t         43.756801         0.000         0.000       
16          2         int64     min       t         40.620801         0.000         0.001       
32          4         int64     min       t         42.220801         0.001         0.001       
64          8         int64     min       t         45.760000         0.001         0.003       
128         16        int64     min       t         47.391999         0.003         0.005       
256         32        int64     min       t         54.688001         0.005         0.009       
512         64        int64     min       t         70.073599         0.007         0.014       
1024        128       int64     min       t         101.292801        0.010         0.019       
2048        256       int64     min       t         163.731205        0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       t         42.175999         0.000         0.000       
16          2         int64     max       t         43.820801         0.000         0.001       
32          4         int64     max       t         42.233601         0.001         0.001       
64          8         int64     max       t         45.561600         0.001         0.003       
128         16        int64     max       t         45.715201         0.003         0.005       
256         32        int64     max       t         56.985599         0.004         0.008       
512         64        int64     max       t         69.977599         0.007         0.014       
1024        128       int64     max       t         101.350403        0.010         0.019       
2048        256       int64     max       t         161.945605        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       w         42.348799         0.000         0.000       
8           2         int32     sum       w         42.195201         0.000         0.000       
16          4         int32     sum       w         43.961599         0.000         0.001       
32          8         int32     sum       w         43.852800         0.001         0.001       
64          16        int32     sum       w         44.064000         0.001         0.003       
128         32        int32     sum       w         42.438400         0.003         0.006       
256         64        int32     sum       w         43.871999         0.006         0.011       
512         128       int32     sum       w         45.542401         0.011         0.021       
1024        256       int32     sum       w         52.025598         0.020         0.037       
2048        512       int32     sum       w         60.351998         0.034         0.064       
4096        1024      int32     sum       w         81.734401         0.050         0.094       
8192        2048      int32     sum       w         120.716798        0.068         0.127       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      w         42.291200         0.000         0.000       
8           2         int32     prod      w         42.291200         0.000         0.000       
16          4         int32     prod      w         42.508799         0.000         0.001       
32          8         int32     prod      w         42.246401         0.001         0.001       
64          16        int32     prod      w         43.891200         0.001         0.003       
128         32        int32     prod      w         42.252800         0.003         0.006       
256         64        int32     prod      w         43.795201         0.006         0.011       
512         128       int32     prod      w         48.831999         0.010         0.020       
1024        256       int32     prod      w         50.547200         0.020         0.038       
2048        512       int32     prod      w         60.102397         0.034         0.064       
4096        1024      int32     prod      w         79.884797         0.051         0.096       
8192        2048      int32     prod      w         117.631996        0.070         0.131       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       w         45.574400         0.000         0.000       
8           2         int32     and       w         42.271999         0.000         0.000       
16          4         int32     and       w         42.208001         0.000         0.001       
32          8         int32     and       w         43.782401         0.001         0.001       
64          16        int32     and       w         42.240000         0.002         0.003       
128         32        int32     and       w         42.252800         0.003         0.006       
256         64        int32     and       w         42.451200         0.006         0.011       
512         128       int32     and       w         47.206399         0.011         0.020       
1024        256       int32     and       w         50.419199         0.020         0.038       
2048        512       int32     and       w         60.351998         0.034         0.064       
4096        1024      int32     and       w         81.766403         0.050         0.094       
8192        2048      int32     and       w         119.193602        0.069         0.129       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        w         43.846399         0.000         0.000       
8           2         int32     or        w         42.265600         0.000         0.000       
16          4         int32     or        w         43.993601         0.000         0.001       
32          8         int32     or        w         42.451200         0.001         0.001       
64          16        int32     or        w         42.284799         0.002         0.003       
128         32        int32     or        w         43.840000         0.003         0.005       
256         64        int32     or        w         43.827200         0.006         0.011       
512         128       int32     or        w         47.136000         0.011         0.020       
1024        256       int32     or        w         52.204800         0.020         0.037       
2048        512       int32     or        w         58.649600         0.035         0.065       
4096        1024      int32     or        w         81.721598         0.050         0.094       
8192        2048      int32     or        w         120.799994        0.068         0.127       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       w         43.884799         0.000         0.000       
8           2         int32     xor       w         42.335999         0.000         0.000       
16          4         int32     xor       w         43.110400         0.000         0.001       
