Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         38.428801         0.000         0.000       
8           2         int32     sum       t         38.201600         0.000         0.000       
16          4         int32     sum       t         38.367999         0.000         0.001       
32          8         int32     sum       t         39.139199         0.001         0.002       
64          16        int32     sum       t         41.542399         0.002         0.003       
128         32        int32     sum       t         47.171199         0.003         0.005       
256         64        int32     sum       t         57.088000         0.004         0.008       
512         128       int32     sum       t         78.303999         0.007         0.012       
1024        256       int32     sum       t         119.366395        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         38.374400         0.000         0.000       
8           2         int32     prod      t         39.097601         0.000         0.000       
16          4         int32     prod      t         38.182399         0.000         0.001       
32          8         int32     prod      t         39.814401         0.001         0.002       
64          16        int32     prod      t         42.326400         0.002         0.003       
128         32        int32     prod      t         47.238401         0.003         0.005       
256         64        int32     prod      t         56.972802         0.004         0.008       
512         128       int32     prod      t         79.132801         0.006         0.012       
1024        256       int32     prod      t         119.286394        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         39.081600         0.000         0.000       
8           2         int32     and       t         38.284799         0.000         0.000       
16          4         int32     and       t         38.975999         0.000         0.001       
32          8         int32     and       t         40.675199         0.001         0.001       
64          16        int32     and       t         42.348799         0.002         0.003       
128         32        int32     and       t         48.060799         0.003         0.005       
256         64        int32     and       t         57.055998         0.004         0.008       
512         128       int32     and       t         78.297597         0.007         0.012       
1024        256       int32     and       t         119.315195        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         39.817601         0.000         0.000       
8           2         int32     or        t         39.087999         0.000         0.000       
16          4         int32     or        t         39.072001         0.000         0.001       
32          8         int32     or        t         39.199999         0.001         0.002       
64          16        int32     or        t         42.819199         0.001         0.003       
128         32        int32     or        t         46.390399         0.003         0.005       
256         64        int32     or        t         57.932800         0.004         0.008       
512         128       int32     or        t         78.323197         0.007         0.012       
1024        256       int32     or        t         119.270396        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         39.359999         0.000         0.000       
8           2         int32     xor       t         39.059201         0.000         0.000       
16          4         int32     xor       t         38.291201         0.000         0.001       
32          8         int32     xor       t         38.982400         0.001         0.002       
64          16        int32     xor       t         43.334401         0.001         0.003       
128         32        int32     xor       t         46.374401         0.003         0.005       
256         64        int32     xor       t         57.168001         0.004         0.008       
512         128       int32     xor       t         78.409600         0.007         0.012       
1024        256       int32     xor       t         120.096004        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         38.089600         0.000         0.000       
8           2         int32     min       t         39.104000         0.000         0.000       
16          4         int32     min       t         38.319999         0.000         0.001       
32          8         int32     min       t         40.691200         0.001         0.001       
64          16        int32     min       t         41.430399         0.002         0.003       
128         32        int32     min       t         46.460801         0.003         0.005       
256         64        int32     min       t         57.059199         0.004         0.008       
512         128       int32     min       t         78.342402         0.007         0.012       
1024        256       int32     min       t         118.585598        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       t         38.163200         0.000         0.000       
8           2         int32     max       t         38.192001         0.000         0.000       
16          4         int32     max       t         38.271999         0.000         0.001       
32          8         int32     max       t         39.043200         0.001         0.002       
64          16        int32     max       t         42.310399         0.002         0.003       
128         32        int32     max       t         47.238401         0.003         0.005       
256         64        int32     max       t         57.011199         0.004         0.008       
512         128       int32     max       t         77.571201         0.007         0.012       
1024        256       int32     max       t         120.204794        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       t         38.262400         0.000         0.000       
16          2         int64     sum       t         40.643200         0.000         0.001       
32          4         int64     sum       t         39.033601         0.001         0.002       
64          8         int64     sum       t         40.662399         0.002         0.003       
128         16        int64     sum       t         44.793600         0.003         0.005       
256         32        int64     sum       t         52.131200         0.005         0.009       
512         64        int64     sum       t         67.702401         0.008         0.014       
1024        128       int64     sum       t         96.403199         0.011         0.020       
2048        256       int64     sum       t         498.572779        0.004         0.008       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      t         38.268799         0.000         0.000       
16          2         int64     prod      t         39.004800         0.000         0.001       
32          4         int64     prod      t         38.150400         0.001         0.002       
64          8         int64     prod      t         39.827201         0.002         0.003       
128         16        int64     prod      t         43.945599         0.003         0.005       
256         32        int64     prod      t         51.350403         0.005         0.009       
512         64        int64     prod      t         66.963202         0.008         0.014       
1024        128       int64     prod      t         97.923201         0.010         0.020       
2048        256       int64     prod      t         157.756805        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       t         38.195199         0.000         0.000       
16          2         int64     and       t         38.316801         0.000         0.001       
32          4         int64     and       t         38.224000         0.001         0.002       
64          8         int64     and       t         39.913601         0.002         0.003       
128         16        int64     and       t         43.932801         0.003         0.005       
256         32        int64     and       t         51.312000         0.005         0.009       
512         64        int64     and       t         66.927999         0.008         0.014       
1024        128       int64     and       t         93.942398         0.011         0.020       
2048        256       int64     and       t         154.508805        0.013         0.025       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        t         38.188800         0.000         0.000       
16          2         int64     or        t         37.497601         0.000         0.001       
32          4         int64     or        t         37.395200         0.001         0.002       
64          8         int64     or        t         39.884800         0.002         0.003       
128         16        int64     or        t         45.308799         0.003         0.005       
256         32        int64     or        t         52.889597         0.005         0.009       
512         64        int64     or        t         66.099203         0.008         0.015       
1024        128       int64     or        t         94.684798         0.011         0.020       
2048        256       int64     or        t         153.651202        0.013         0.025       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
