Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         44.204801         0.000         0.000       
8           2         int32     sum       t         43.494400         0.000         0.000       
16          4         int32     sum       t         42.099199         0.000         0.001       
32          8         int32     sum       t         43.750399         0.001         0.001       
64          16        int32     sum       t         47.091201         0.001         0.003       
128         32        int32     sum       t         51.833600         0.002         0.005       
256         64        int32     sum       t         60.025603         0.004         0.008       
512         128       int32     sum       t         84.460801         0.006         0.011       
1024        256       int32     sum       t         124.031997        0.008         0.015       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         43.558401         0.000         0.000       
8           2         int32     prod      t         41.984001         0.000         0.000       
16          4         int32     prod      t         41.907200         0.000         0.001       
32          8         int32     prod      t         41.984001         0.001         0.001       
64          16        int32     prod      t         46.880001         0.001         0.003       
128         32        int32     prod      t         50.278401         0.003         0.005       
256         64        int32     prod      t         61.536002         0.004         0.008       
512         128       int32     prod      t         81.331199         0.006         0.012       
1024        256       int32     prod      t         123.782396        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         42.003199         0.000         0.000       
8           2         int32     and       t         43.814400         0.000         0.000       
16          4         int32     and       t         42.003199         0.000         0.001       
32          8         int32     and       t         43.622401         0.001         0.001       
64          16        int32     and       t         45.267200         0.001         0.003       
128         32        int32     and       t         51.801598         0.002         0.005       
256         64        int32     and       t         61.779201         0.004         0.008       
512         128       int32     and       t         81.113601         0.006         0.012       
1024        256       int32     and       t         122.156799        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         41.951999         0.000         0.000       
8           2         int32     or        t         643.436813        0.000         0.000       
16          4         int32     or        t         40.428799         0.000         0.001       
32          8         int32     or        t         45.612800         0.001         0.001       
64          16        int32     or        t         45.145601         0.001         0.003       
128         32        int32     or        t         52.012801         0.002         0.005       
256         64        int32     or        t         61.728001         0.004         0.008       
512         128       int32     or        t         82.905602         0.006         0.012       
1024        256       int32     or        t         122.303998        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         43.507200         0.000         0.000       
8           2         int32     xor       t         41.836801         0.000         0.000       
16          4         int32     xor       t         42.041600         0.000         0.001       
32          8         int32     xor       t         43.750399         0.001         0.001       
64          16        int32     xor       t         45.593601         0.001         0.003       
128         32        int32     xor       t         51.833600         0.002         0.005       
256         64        int32     xor       t         61.593598         0.004         0.008       
512         128       int32     xor       t         81.273597         0.006         0.012       
1024        256       int32     xor       t         123.808002        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         43.545601         0.000         0.000       
8           2         int32     min       t         41.900799         0.000         0.000       
16          4         int32     min       t         42.566401         0.000         0.001       
32          8         int32     min       t         42.080000         0.001         0.001       
64          16        int32     min       t         46.687999         0.001         0.003       
128         32        int32     min       t         50.150400         0.003         0.005       
256         64        int32     min       t         59.903997         0.004         0.008       
512         128       int32     min       t         79.776001         0.006         0.012       
1024        256       int32     min       t         123.839998        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       t         45.216000         0.000         0.000       
8           2         int32     max       t         41.856000         0.000         0.000       
16          4         int32     max       t         41.920000         0.000         0.001       
32          8         int32     max       t         41.926399         0.001         0.001       
64          16        int32     max       t         45.376000         0.001         0.003       
128         32        int32     max       t         50.086403         0.003         0.005       
256         64        int32     max       t         61.670399         0.004         0.008       
512         128       int32     max       t         84.435201         0.006         0.011       
1024        256       int32     max       t         124.006402        0.008         0.015       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       t         42.099199         0.000         0.000       
16          2         int64     sum       t         42.105600         0.000         0.001       
32          4         int64     sum       t         41.977599         0.001         0.001       
64          8         int64     sum       t         43.526399         0.001         0.003       
128         16        int64     sum       t         48.627201         0.003         0.005       
256         32        int64     sum       t         53.510398         0.005         0.009       
512         64        int64     sum       t         71.411198         0.007         0.013       
1024        128       int64     sum       t         99.353600         0.010         0.019       
2048        256       int64     sum       t         159.897602        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      t         43.609601         0.000         0.000       
16          2         int64     prod      t         42.054400         0.000         0.001       
32          4         int64     prod      t         43.756801         0.001         0.001       
64          8         int64     prod      t         43.558401         0.001         0.003       
128         16        int64     prod      t         50.182402         0.003         0.005       
256         32        int64     prod      t         55.168003         0.005         0.009       
512         64        int64     prod      t         69.753599         0.007         0.014       
1024        128       int64     prod      t         102.425599        0.010         0.019       
2048        256       int64     prod      t         163.270402        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       t         43.532801         0.000         0.000       
16          2         int64     and       t         42.092800         0.000         0.001       
32          4         int64     and       t         42.016000         0.001         0.001       
64          8         int64     and       t         43.584001         0.001         0.003       
128         16        int64     and       t         48.467201         0.003         0.005       
256         32        int64     and       t         53.555202         0.005         0.009       
512         64        int64     and       t         69.932801         0.007         0.014       
1024        128       int64     and       t         96.032000         0.011         0.020       
2048        256       int64     and       t         155.046403        0.013         0.025       
#device_reduction
