Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     or        t         39.878401         0.002         0.003       
128         16        int64     or        t         43.894401         0.003         0.005       
256         32        int64     or        t         51.276797         0.005         0.009       
512         64        int64     or        t         66.915202         0.008         0.014       
1024        128       int64     or        t         94.687998         0.011         0.020       
2048        256       int64     or        t         154.566395        0.013         0.025       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       t         37.308800         0.000         0.000       
16          2         int64     xor       t         38.150400         0.000         0.001       
32          4         int64     xor       t         38.982400         0.001         0.002       
64          8         int64     xor       t         40.656000         0.002         0.003       
128         16        int64     xor       t         43.955201         0.003         0.005       
256         32        int64     xor       t         50.463998         0.005         0.010       
512         64        int64     xor       t         66.144001         0.008         0.015       
1024        128       int64     xor       t         94.713598         0.011         0.020       
2048        256       int64     xor       t         153.731203        0.013         0.025       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       t         38.908800         0.000         0.000       
16          2         int64     min       t         38.150400         0.000         0.001       
32          4         int64     min       t         39.043200         0.001         0.002       
64          8         int64     min       t         43.110400         0.001         0.003       
128         16        int64     min       t         44.009599         0.003         0.005       
256         32        int64     min       t         52.137601         0.005         0.009       
512         64        int64     min       t         67.641598         0.008         0.014       
1024        128       int64     min       t         98.761600         0.010         0.019       
2048        256       int64     min       t         160.297596        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       t         38.204801         0.000         0.000       
16          2         int64     max       t         38.176000         0.000         0.001       
32          4         int64     max       t         39.036801         0.001         0.002       
64          8         int64     max       t         40.726399         0.002         0.003       
128         16        int64     max       t         44.774401         0.003         0.005       
256         32        int64     max       t         51.350403         0.005         0.009       
