Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     sum       t         5.651200          0.006         0.005       
64          16        int32     sum       t         5.491200          0.012         0.010       
128         32        int32     sum       t         5.494400          0.023         0.020       
256         64        int32     sum       t         5.552000          0.046         0.040       
512         128       int32     sum       t         5.852800          0.087         0.077       
1024        256       int32     sum       t         5.478400          0.187         0.164       
2048        512       int32     sum       t         5.472000          0.374         0.327       
4096        1024      int32     sum       t         5.427200          0.755         0.660       
8192        2048      int32     sum       t         5.523200          1.483         1.298       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     prod      t         10.873600         0.003         0.003       
64          16        int32     prod      t         10.931200         0.006         0.005       
128         32        int32     prod      t         10.854400         0.012         0.010       
256         64        int32     prod      t         10.844800         0.024         0.021       
512         128       int32     prod      t         10.857600         0.047         0.041       
1024        256       int32     prod      t         10.883200         0.094         0.082       
2048        512       int32     prod      t         10.832000         0.189         0.165       
4096        1024      int32     prod      t         10.816000         0.379         0.331       
8192        2048      int32     prod      t         10.857600         0.754         0.660       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     and       t         5.420800          0.006         0.005       
64          16        int32     and       t         5.462400          0.012         0.010       
128         32        int32     and       t         5.382400          0.024         0.021       
256         64        int32     and       t         5.395200          0.047         0.042       
512         128       int32     and       t         5.388800          0.095         0.083       
1024        256       int32     and       t         5.900800          0.174         0.152       
2048        512       int32     and       t         5.580800          0.367         0.321       
4096        1024      int32     and       t         5.472000          0.749         0.655       
8192        2048      int32     and       t         5.379200          1.523         1.333       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     or        t         5.350400          0.006         0.005       
64          16        int32     or        t         5.507200          0.012         0.010       
128         32        int32     or        t         5.462400          0.023         0.021       
256         64        int32     or        t         5.404800          0.047         0.041       
512         128       int32     or        t         5.452800          0.094         0.082       
1024        256       int32     or        t         5.465600          0.187         0.164       
2048        512       int32     or        t         5.548800          0.369         0.323       
4096        1024      int32     or        t         5.465600          0.749         0.656       
8192        2048      int32     or        t         5.475200          1.496         1.309       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     xor       t         5.404800          0.006         0.005       
64          16        int32     xor       t         5.382400          0.012         0.010       
128         32        int32     xor       t         5.526400          0.023         0.020       
256         64        int32     xor       t         5.792000          0.044         0.039       
512         128       int32     xor       t         5.404800          0.095         0.083       
1024        256       int32     xor       t         5.363200          0.191         0.167       
2048        512       int32     xor       t         5.500800          0.372         0.326       
4096        1024      int32     xor       t         5.411200          0.757         0.662       
