Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         13.139200         0.000         0.001       
8           2         int32     sum       t         12.639999         0.001         0.001       
16          4         int32     sum       t         12.812801         0.001         0.002       
32          8         int32     sum       t         14.291200         0.002         0.004       
64          16        int32     sum       t         15.936001         0.004         0.007       
128         32        int32     sum       t         20.691200         0.006         0.011       
256         64        int32     sum       t         29.049599         0.009         0.015       
512         128       int32     sum       t         45.171201         0.011         0.020       
1024        256       int32     sum       t         78.252798         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         12.518400         0.000         0.001       
8           2         int32     prod      t         12.448000         0.001         0.001       
16          4         int32     prod      t         14.169601         0.001         0.002       
32          8         int32     prod      t         14.080000         0.002         0.004       
64          16        int32     prod      t         15.852800         0.004         0.007       
128         32        int32     prod      t         19.212800         0.007         0.012       
256         64        int32     prod      t         28.832000         0.009         0.016       
512         128       int32     prod      t         45.420799         0.011         0.020       
1024        256       int32     prod      t         78.054398         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.684800         0.000         0.001       
8           2         int32     and       t         12.678400         0.001         0.001       
16          4         int32     and       t         12.505600         0.001         0.002       
32          8         int32     and       t         14.048000         0.002         0.004       
64          16        int32     and       t         15.712000         0.004         0.007       
128         32        int32     and       t         20.716800         0.006         0.011       
256         64        int32     and       t         28.915200         0.009         0.015       
512         128       int32     and       t         45.139199         0.011         0.020       
1024        256       int32     and       t         78.009599         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         12.524800         0.000         0.001       
8           2         int32     or        t         12.614401         0.001         0.001       
16          4         int32     or        t         12.601601         0.001         0.002       
32          8         int32     or        t         14.112000         0.002         0.004       
64          16        int32     or        t         16.012800         0.004         0.007       
128         32        int32     or        t         19.136000         0.007         0.012       
256         64        int32     or        t         27.436799         0.009         0.016       
512         128       int32     or        t         45.350400         0.011         0.020       
1024        256       int32     or        t         78.067201         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         14.124800         0.000         0.000       
8           2         int32     xor       t         12.620801         0.001         0.001       
16          4         int32     xor       t         12.665600         0.001         0.002       
32          8         int32     xor       t         14.176001         0.002         0.004       
64          16        int32     xor       t         15.750401         0.004         0.007       
128         32        int32     xor       t         20.723200         0.006         0.011       
256         64        int32     xor       t         28.940800         0.009         0.015       
512         128       int32     xor       t         45.311999         0.011         0.020       
1024        256       int32     xor       t         78.118402         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         12.544000         0.000         0.001       
8           2         int32     min       t         12.787201         0.001         0.001       
16          4         int32     min       t         12.652799         0.001         0.002       
32          8         int32     min       t         14.195199         0.002         0.004       
64          16        int32     min       t         15.648000         0.004         0.007       
128         32        int32     min       t         20.691200         0.006         0.011       
