Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         13.491200         0.000         0.001       
8           2         int32     sum       t         12.608001         0.001         0.001       
16          4         int32     sum       t         13.011201         0.001         0.002       
32          8         int32     sum       t         14.399999         0.002         0.004       
64          16        int32     sum       t         17.740799         0.004         0.006       
128         32        int32     sum       t         19.366400         0.007         0.012       
256         64        int32     sum       t         27.462399         0.009         0.016       
512         128       int32     sum       t         43.769601         0.012         0.020       
1024        256       int32     sum       t         76.915199         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         12.768000         0.000         0.001       
8           2         int32     prod      t         12.716800         0.001         0.001       
16          4         int32     prod      t         12.761600         0.001         0.002       
32          8         int32     prod      t         14.323200         0.002         0.004       
64          16        int32     prod      t         16.134401         0.004         0.007       
128         32        int32     prod      t         20.640001         0.006         0.011       
256         64        int32     prod      t         27.417600         0.009         0.016       
512         128       int32     prod      t         45.465600         0.011         0.020       
1024        256       int32     prod      t         78.188801         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.800001         0.000         0.001       
8           2         int32     and       t         12.908800         0.001         0.001       
16          4         int32     and       t         12.761600         0.001         0.002       
32          8         int32     and       t         14.438400         0.002         0.004       
64          16        int32     and       t         16.070400         0.004         0.007       
128         32        int32     and       t         19.372800         0.007         0.012       
256         64        int32     and       t         29.139200         0.009         0.015       
512         128       int32     and       t         45.478401         0.011         0.020       
1024        256       int32     and       t         78.201598         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         12.646399         0.000         0.001       
8           2         int32     or        t         12.774400         0.001         0.001       
16          4         int32     or        t         12.819199         0.001         0.002       
32          8         int32     or        t         14.323200         0.002         0.004       
64          16        int32     or        t         15.967999         0.004         0.007       
128         32        int32     or        t         19.212800         0.007         0.012       
256         64        int32     or        t         29.152000         0.009         0.015       
512         128       int32     or        t         45.664001         0.011         0.020       
1024        256       int32     or        t         78.246403         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         12.652799         0.000         0.001       
8           2         int32     xor       t         12.646399         0.001         0.001       
16          4         int32     xor       t         12.992001         0.001         0.002       
32          8         int32     xor       t         14.496000         0.002         0.004       
64          16        int32     xor       t         15.859200         0.004         0.007       
128         32        int32     xor       t         20.863999         0.006         0.011       
256         64        int32     xor       t         27.609599         0.009         0.016       
512         128       int32     xor       t         45.587200         0.011         0.020       
1024        256       int32     xor       t         78.348798         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         12.710400         0.000         0.001       
