Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     or        t         13.545600         0.005         0.008       
128         16        int64     or        t         16.860799         0.008         0.013       
256         32        int64     or        t         22.569600         0.011         0.020       
512         64        int64     or        t         34.118399         0.015         0.026       
1024        128       int64     or        t         57.849598         0.018         0.031       
2048        256       int64     or        t         105.388796        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       t         11.904000         0.001         0.001       
16          2         int64     xor       t         11.910400         0.001         0.002       
32          4         int64     xor       t         12.771200         0.003         0.004       
64          8         int64     xor       t         13.622400         0.005         0.008       
128         16        int64     xor       t         16.803201         0.008         0.013       
256         32        int64     xor       t         22.668800         0.011         0.020       
512         64        int64     xor       t         34.067199         0.015         0.026       
1024        128       int64     xor       t         57.910401         0.018         0.031       
2048        256       int64     xor       t         106.249595        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       t         12.688001         0.001         0.001       
16          2         int64     min       t         11.916800         0.001         0.002       
32          4         int64     min       t         12.774400         0.003         0.004       
64          8         int64     min       t         13.686401         0.005         0.008       
128         16        int64     min       t         16.918400         0.008         0.013       
256         32        int64     min       t         23.360001         0.011         0.019       
512         64        int64     min       t         35.670400         0.014         0.025       
1024        128       int64     min       t         60.284799         0.017         0.030       
2048        256       int64     min       t         110.329604        0.019         0.032       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       t         11.929600         0.001         0.001       
16          2         int64     max       t         11.987200         0.001         0.002       
32          4         int64     max       t         13.580801         0.002         0.004       
64          8         int64     max       t         13.616000         0.005         0.008       
128         16        int64     max       t         16.851200         0.008         0.013       
256         32        int64     max       t         22.608000         0.011         0.020       
512         64        int64     max       t         35.657600         0.014         0.025       
1024        128       int64     max       t         60.291201         0.017         0.030       
2048        256       int64     max       t         110.268795        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       w         12.758400         0.000         0.001       
8           2         int32     sum       w         11.900800         0.001         0.001       
16          4         int32     sum       w         11.913600         0.001         0.002       
32          8         int32     sum       w         11.939200         0.003         0.005       
64          16        int32     sum       w         12.009600         0.005         0.009       
128         32        int32     sum       w         11.971200         0.011         0.019       
256         64        int32     sum       w         12.806401         0.020         0.035       
512         128       int32     sum       w         15.196800         0.034         0.059       
1024        256       int32     sum       w         18.521599         0.055         0.097       
2048        512       int32     sum       w         27.564800         0.074         0.130       
4096        1024      int32     sum       w         41.520000         0.099         0.173       
8192        2048      int32     sum       w         72.537601         0.113         0.198       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      w         11.926400         0.000         0.001       
8           2         int32     prod      w         11.974400         0.001         0.001       
16          4         int32     prod      w         12.060800         0.001         0.002       
32          8         int32     prod      w         12.224000         0.003         0.005       
64          16        int32     prod      w         12.771200         0.005         0.009       
128         32        int32     prod      w         11.923200         0.011         0.019       
256         64        int32     prod      w         12.761600         0.020         0.035       
512         128       int32     prod      w         15.216000         0.034         0.059       
1024        256       int32     prod      w         18.595199         0.055         0.096       
2048        512       int32     prod      w         27.468801         0.075         0.130       
4096        1024      int32     prod      w         41.503999         0.099         0.173       
8192        2048      int32     prod      w         72.534400         0.113         0.198       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       w         11.990400         0.000         0.001       
8           2         int32     and       w         12.000000         0.001         0.001       
16          4         int32     and       w         12.006400         0.001         0.002       
32          8         int32     and       w         11.900800         0.003         0.005       
64          16        int32     and       w         11.980800         0.005         0.009       
128         32        int32     and       w         12.012800         0.011         0.019       
256         64        int32     and       w         12.812801         0.020         0.035       
512         128       int32     and       w         15.260801         0.034         0.059       
1024        256       int32     and       w         18.492800         0.055         0.097       
2048        512       int32     and       w         26.739201         0.077         0.134       
4096        1024      int32     and       w         41.500801         0.099         0.173       
8192        2048      int32     and       w         72.499198         0.113         0.198       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        w         12.803200         0.000         0.001       
8           2         int32     or        w         11.916800         0.001         0.001       
16          4         int32     or        w         11.968000         0.001         0.002       
32          8         int32     or        w         12.028800         0.003         0.005       
64          16        int32     or        w         11.910400         0.005         0.009       
128         32        int32     or        w         11.945600         0.011         0.019       
256         64        int32     or        w         12.787201         0.020         0.035       
512         128       int32     or        w         15.305600         0.033         0.059       
