Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         14.636800         0.000         0.000       
8           2         int32     sum       t         12.620801         0.001         0.001       
16          4         int32     sum       t         14.336000         0.001         0.002       
32          8         int32     sum       t         14.227200         0.002         0.004       
64          16        int32     sum       t         15.878400         0.004         0.007       
128         32        int32     sum       t         25.548801         0.005         0.009       
256         64        int32     sum       t         28.838399         0.009         0.016       
512         128       int32     sum       t         45.132801         0.011         0.020       
1024        256       int32     sum       t         76.614398         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         12.576000         0.000         0.001       
8           2         int32     prod      t         12.537600         0.001         0.001       
16          4         int32     prod      t         14.188799         0.001         0.002       
32          8         int32     prod      t         14.182401         0.002         0.004       
64          16        int32     prod      t         15.878400         0.004         0.007       
128         32        int32     prod      t         20.787200         0.006         0.011       
256         64        int32     prod      t         28.889599         0.009         0.016       
512         128       int32     prod      t         45.228800         0.011         0.020       
1024        256       int32     prod      t         77.990401         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.614401         0.000         0.001       
8           2         int32     and       t         12.582400         0.001         0.001       
16          4         int32     and       t         12.550400         0.001         0.002       
32          8         int32     and       t         14.144000         0.002         0.004       
64          16        int32     and       t         15.763199         0.004         0.007       
128         32        int32     and       t         19.251201         0.007         0.012       
256         64        int32     and       t         27.456000         0.009         0.016       
512         128       int32     and       t         43.551999         0.012         0.021       
1024        256       int32     and       t         76.563197         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         12.409600         0.000         0.001       
8           2         int32     or        t         12.831999         0.001         0.001       
16          4         int32     or        t         12.601601         0.001         0.002       
32          8         int32     or        t         14.112000         0.002         0.004       
64          16        int32     or        t         17.324799         0.004         0.006       
128         32        int32     or        t         20.736000         0.006         0.011       
256         64        int32     or        t         28.992000         0.009         0.015       
512         128       int32     or        t         43.833601         0.012         0.020       
1024        256       int32     or        t         77.926397         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         14.022399         0.000         0.000       
8           2         int32     xor       t         12.595201         0.001         0.001       
16          4         int32     xor       t         14.188799         0.001         0.002       
32          8         int32     xor       t         14.342400         0.002         0.004       
64          16        int32     xor       t         15.731201         0.004         0.007       
128         32        int32     xor       t         20.671999         0.006         0.011       
256         64        int32     xor       t         28.972799         0.009         0.015       
512         128       int32     xor       t         43.769601         0.012         0.020       
1024        256       int32     xor       t         78.041601         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         12.524800         0.000         0.001       
8           2         int32     min       t         12.518400         0.001         0.001       
16          4         int32     min       t         12.620801         0.001         0.002       
32          8         int32     min       t         14.310400         0.002         0.004       
64          16        int32     min       t         15.699200         0.004         0.007       
128         32        int32     min       t         19.110399         0.007         0.012       
256         64        int32     min       t         28.780800         0.009         0.016       
512         128       int32     min       t         43.788800         0.012         0.020       
1024        256       int32     min       t         78.118402         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       t         14.182401         0.000         0.000       
8           2         int32     max       t         12.531200         0.001         0.001       
16          4         int32     max       t         12.448000         0.001         0.002       
32          8         int32     max       t         14.124800         0.002         0.004       
64          16        int32     max       t         15.846400         0.004         0.007       
128         32        int32     max       t         19.225600         0.007         0.012       
256         64        int32     max       t         28.774399         0.009         0.016       
512         128       int32     max       t         43.660799         0.012         0.021       
1024        256       int32     max       t         76.576000         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       t         12.633599         0.001         0.001       
16          2         int64     sum       t         14.220800         0.001         0.002       
32          4         int64     sum       t         14.207999         0.002         0.004       
64          8         int64     sum       t         14.144000         0.005         0.008       
128         16        int64     sum       t         17.465600         0.007         0.013       
256         32        int64     sum       t         24.083200         0.011         0.019       
512         64        int64     sum       t         35.519999         0.014         0.025       
1024        128       int64     sum       t         60.070401         0.017         0.030       
2048        256       int64     sum       t         109.209597        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      t         12.544000         0.001         0.001       
16          2         int64     prod      t         12.620801         0.001         0.002       
32          4         int64     prod      t         14.067200         0.002         0.004       
64          8         int64     prod      t         15.974399         0.004         0.007       
128         16        int64     prod      t         17.472000         0.007         0.013       
256         32        int64     prod      t         24.172799         0.011         0.019       
512         64        int64     prod      t         37.075201         0.014         0.024       
1024        128       int64     prod      t         61.523199         0.017         0.029       
2048        256       int64     prod      t         109.126401        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       t         12.448000         0.001         0.001       
16          2         int64     and       t         14.195199         0.001         0.002       
32          4         int64     and       t         14.265600         0.002         0.004       
64          8         int64     and       t         14.195199         0.005         0.008       
128         16        int64     and       t         17.459200         0.007         0.013       
256         32        int64     and       t         24.121600         0.011         0.019       
512         64        int64     and       t         35.488001         0.014         0.025       
1024        128       int64     and       t         58.336002         0.018         0.031       
2048        256       int64     and       t         105.836797        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        t         12.544000         0.001         0.001       
16          2         int64     or        t         12.544000         0.001         0.002       
32          4         int64     or        t         12.812801         0.002         0.004       
64          8         int64     or        t         14.060800         0.005         0.008       
128         16        int64     or        t         17.452800         0.007         0.013       
256         32        int64     or        t         23.929600         0.011         0.019       
512         64        int64     or        t         35.494399         0.014         0.025       
1024        128       int64     or        t         58.457601         0.018         0.031       
2048        256       int64     or        t         105.996799        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       t         15.648000         0.001         0.001       
16          2         int64     xor       t         12.396800         0.001         0.002       
32          4         int64     xor       t         12.774400         0.003         0.004       
64          8         int64     xor       t         15.904000         0.004         0.007       
128         16        int64     xor       t         17.452800         0.007         0.013       
256         32        int64     xor       t         24.083200         0.011         0.019       
512         64        int64     xor       t         35.366401         0.014         0.025       
1024        128       int64     xor       t         58.425599         0.018         0.031       
2048        256       int64     xor       t         105.983996        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
