# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1444487 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1444488 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1444489 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1444490 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1444491 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1444492 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1444493 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1444494 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1981369 on h200-bar-201-239 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1981370 on h200-bar-201-239 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1981371 on h200-bar-201-239 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1981372 on h200-bar-201-239 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1981373 on h200-bar-201-239 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1981374 on h200-bar-201-239 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1981375 on h200-bar-201-239 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1981376 on h200-bar-201-239 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.15    0.00    0.00       0     0.14    0.00    0.00       0
           0             0     float     sum      -1     0.14    0.00    0.00       0     0.14    0.00    0.00       0
           0             0     float     sum      -1     0.14    0.00    0.00       0     0.15    0.00    0.00       0
           0             0     float     sum      -1     0.14    0.00    0.00       0     0.14    0.00    0.00       0
           0             0     float     sum      -1     0.14    0.00    0.00       0     0.15    0.00    0.00       0
           0             0     float     sum      -1     0.14    0.00    0.00       0     0.15    0.00    0.00       0
         256             4     float     sum      -1    37.53    0.01    0.01       0    36.97    0.01    0.01       0
         512             8     float     sum      -1    37.02    0.01    0.01       0    36.87    0.01    0.01       0
        1024            16     float     sum      -1    36.93    0.03    0.03       0    36.93    0.03    0.03       0
        2048            32     float     sum      -1    37.07    0.06    0.05       0    36.98    0.06    0.05       0
        4096            64     float     sum      -1    37.09    0.11    0.10       0    37.03    0.11    0.10       0
        8192           128     float     sum      -1    37.08    0.22    0.21       0    37.02    0.22    0.21       0
       16384           256     float     sum      -1    38.27    0.43    0.40       0    38.17    0.43    0.40       0
       32768           512     float     sum      -1    39.82    0.82    0.77       0    39.67    0.83    0.77       0
       65536          1024     float     sum      -1    38.82    1.69    1.58       0    38.84    1.69    1.58       0
      131072          2048     float     sum      -1    38.31    3.42    3.21       0    38.38    3.42    3.20       0
      262144          4096     float     sum      -1    40.52    6.47    6.06       0    40.63    6.45    6.05       0
      524288          8192     float     sum      -1    45.28   11.58   10.86       0    45.21   11.60   10.87       0
     1048576         16384     float     sum      -1    52.05   20.15   18.89       0    52.19   20.09   18.84       0
     2097152         32768     float     sum      -1    54.61   38.40   36.00       0    54.64   38.38   35.98       0
     4194304         65536     float     sum      -1    60.35   69.50   65.15       0    60.32   69.53   65.19       0
     8388608        131072     float     sum      -1    85.74   97.83   91.72       0    85.53   98.08   91.95       0
    16777216        262144     float     sum      -1   121.34  138.27  129.62       0   125.17  134.03  125.66       0
    33554432        524288     float     sum      -1   180.20  186.20  174.57       0   179.64  186.79  175.12       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 22.4014 
#
# Collective test concluded: reduce_scatter_perf
#

