Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         13.273600         0.000         0.001       
8           2         int32     sum       t         12.614401         0.001         0.001       
16          4         int32     sum       t         14.579201         0.001         0.002       
32          8         int32     sum       t         14.540800         0.002         0.004       
64          16        int32     sum       t         16.927999         0.004         0.007       
128         32        int32     sum       t         19.283199         0.007         0.012       
256         64        int32     sum       t         27.385601         0.009         0.016       
512         128       int32     sum       t         43.916801         0.012         0.020       
1024        256       int32     sum       t         76.723200         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         12.844799         0.000         0.001       
8           2         int32     prod      t         12.851200         0.001         0.001       
16          4         int32     prod      t         12.646399         0.001         0.002       
32          8         int32     prod      t         14.508800         0.002         0.004       
64          16        int32     prod      t         16.051200         0.004         0.007       
128         32        int32     prod      t         19.526400         0.007         0.011       
256         64        int32     prod      t         27.475199         0.009         0.016       
512         128       int32     prod      t         43.916801         0.012         0.020       
1024        256       int32     prod      t         78.163201         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.812801         0.000         0.001       
8           2         int32     and       t         12.774400         0.001         0.001       
16          4         int32     and       t         12.793601         0.001         0.002       
32          8         int32     and       t         14.233600         0.002         0.004       
64          16        int32     and       t         16.006400         0.004         0.007       
128         32        int32     and       t         19.468801         0.007         0.012       
256         64        int32     and       t         27.647999         0.009         0.016       
512         128       int32     and       t         43.840000         0.012         0.020       
1024        256       int32     and       t         76.627201         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         12.876800         0.000         0.001       
8           2         int32     or        t         13.068800         0.001         0.001       
16          4         int32     or        t         12.800001         0.001         0.002       
32          8         int32     or        t         13.504000         0.002         0.004       
64          16        int32     or        t         16.000000         0.004         0.007       
128         32        int32     or        t         19.283199         0.007         0.012       
256         64        int32     or        t         29.056001         0.009         0.015       
512         128       int32     or        t         43.961599         0.012         0.020       
1024        256       int32     or        t         76.748800         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         12.550400         0.000         0.001       
8           2         int32     xor       t         12.678400         0.001         0.001       
16          4         int32     xor       t         12.870400         0.001         0.002       
32          8         int32     xor       t         14.368001         0.002         0.004       
64          16        int32     xor       t         15.923201         0.004         0.007       
128         32        int32     xor       t         19.129600         0.007         0.012       
256         64        int32     xor       t         27.526399         0.009         0.016       
512         128       int32     xor       t         43.942401         0.012         0.020       
1024        256       int32     xor       t         76.652801         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         12.639999         0.000         0.001       
8           2         int32     min       t         12.639999         0.001         0.001       
16          4         int32     min       t         12.780800         0.001         0.002       
32          8         int32     min       t         14.547201         0.002         0.004       
64          16        int32     min       t         15.993600         0.004         0.007       
128         32        int32     min       t         19.328000         0.007         0.012       
256         64        int32     min       t         27.520001         0.009         0.016       
512         128       int32     min       t         44.000000         0.012         0.020       
1024        256       int32     min       t         79.289597         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       t         12.550400         0.000         0.001       
8           2         int32     max       t         12.716800         0.001         0.001       
16          4         int32     max       t         12.652799         0.001         0.002       
32          8         int32     max       t         14.444800         0.002         0.004       
64          16        int32     max       t         16.096000         0.004         0.007       
128         32        int32     max       t         19.232000         0.007         0.012       
256         64        int32     max       t         27.392000         0.009         0.016       
512         128       int32     max       t         43.891200         0.012         0.020       
1024        256       int32     max       t         76.646399         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       t         12.787201         0.001         0.001       
16          2         int64     sum       t         12.736000         0.001         0.002       
32          4         int64     sum       t         14.214399         0.002         0.004       
64          8         int64     sum       t         14.368001         0.004         0.008       
128         16        int64     sum       t         17.689601         0.007         0.013       
256         32        int64     sum       t         24.345601         0.011         0.018       
512         64        int64     sum       t         35.712001         0.014         0.025       
1024        128       int64     sum       t         58.828801         0.017         0.030       
2048        256       int64     sum       t         109.209597        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      t         12.806401         0.001         0.001       
16          2         int64     prod      t         12.639999         0.001         0.002       
32          4         int64     prod      t         12.800001         0.002         0.004       
64          8         int64     prod      t         16.019200         0.004         0.007       
128         16        int64     prod      t         17.715199         0.007         0.013       
256         32        int64     prod      t         25.171199         0.010         0.018       
512         64        int64     prod      t         35.872000         0.014         0.025       
1024        128       int64     prod      t         60.166401         0.017         0.030       
2048        256       int64     prod      t         109.516799        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       t         12.665600         0.001         0.001       
16          2         int64     and       t         12.851200         0.001         0.002       
32          4         int64     and       t         12.697600         0.003         0.004       
64          8         int64     and       t         14.348800         0.004         0.008       
128         16        int64     and       t         17.670400         0.007         0.013       
256         32        int64     and       t         22.688000         0.011         0.020       
512         64        int64     and       t         34.105599         0.015         0.026       
1024        128       int64     and       t         58.528000         0.017         0.031       
2048        256       int64     and       t         106.073594        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        t         14.259200         0.001         0.001       
16          2         int64     or        t         12.793601         0.001         0.002       
32          4         int64     or        t         13.036799         0.002         0.004       
64          8         int64     or        t         14.246400         0.004         0.008       
128         16        int64     or        t         17.708801         0.007         0.013       
256         32        int64     or        t         22.572801         0.011         0.020       
512         64        int64     or        t         34.246400         0.015         0.026       
1024        128       int64     or        t         58.643198         0.017         0.031       
2048        256       int64     or        t         106.143999        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       t         12.537600         0.001         0.001       
16          2         int64     xor       t         12.736000         0.001         0.002       
32          4         int64     xor       t         12.787201         0.003         0.004       
64          8         int64     xor       t         16.128001         0.004         0.007       
128         16        int64     xor       t         17.478400         0.007         0.013       
256         32        int64     xor       t         22.623999         0.011         0.020       
512         64        int64     xor       t         33.939201         0.015         0.026       
1024        128       int64     xor       t         58.656001         0.017         0.031       
2048        256       int64     xor       t         106.304002        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       t         14.227200         0.001         0.001       
16          2         int64     min       t         12.652799         0.001         0.002       
32          4         int64     min       t         12.819199         0.002         0.004       
64          8         int64     min       t         14.822400         0.004         0.008       
128         16        int64     min       t         17.721599         0.007         0.013       
256         32        int64     min       t         24.121600         0.011         0.019       
512         64        int64     min       t         35.609600         0.014         0.025       
1024        128       int64     min       t         60.179198         0.017         0.030       
2048        256       int64     min       t         109.510398        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       t         14.291200         0.001         0.001       
16          2         int64     max       t         12.787201         0.001         0.002       
32          4         int64     max       t         12.768000         0.003         0.004       
64          8         int64     max       t         14.476800         0.004         0.008       
128         16        int64     max       t         17.504001         0.007         0.013       
256         32        int64     max       t         24.166401         0.011         0.019       
512         64        int64     max       t         35.724801         0.014         0.025       
1024        128       int64     max       t         60.153598         0.017         0.030       
2048        256       int64     max       t         111.008000        0.018         0.032       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       w         12.883200         0.000         0.001       
8           2         int32     sum       w         12.768000         0.001         0.001       
16          4         int32     sum       w         12.742400         0.001         0.002       
32          8         int32     sum       w         12.646399         0.003         0.004       
64          16        int32     sum       w         12.768000         0.005         0.009       
128         32        int32     sum       w         12.902400         0.010         0.017       
256         64        int32     sum       w         14.342400         0.018         0.031       
512         128       int32     sum       w         15.865600         0.032         0.056       
1024        256       int32     sum       w         19.225600         0.053         0.093       
2048        512       int32     sum       w         27.558401         0.074         0.130       
4096        1024      int32     sum       w         42.297599         0.097         0.169       
8192        2048      int32     sum       w         73.299199         0.112         0.196       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      w         12.755200         0.000         0.001       
