Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         44.588801         0.000         0.000       
8           2         int32     sum       t         42.246401         0.000         0.000       
16          4         int32     sum       t         44.153601         0.000         0.001       
32          8         int32     sum       t         43.987200         0.001         0.001       
64          16        int32     sum       t         48.307201         0.001         0.002       
128         32        int32     sum       t         52.012801         0.002         0.005       
256         64        int32     sum       t         61.990398         0.004         0.008       
512         128       int32     sum       t         83.321601         0.006         0.012       
1024        256       int32     sum       t         122.835195        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         42.220801         0.000         0.000       
8           2         int32     prod      t         42.387199         0.000         0.000       
16          4         int32     prod      t         43.878400         0.000         0.001       
32          8         int32     prod      t         43.827200         0.001         0.001       
64          16        int32     prod      t         47.385600         0.001         0.003       
128         32        int32     prod      t         50.553602         0.003         0.005       
256         64        int32     prod      t         60.108799         0.004         0.008       
512         128       int32     prod      t         81.548798         0.006         0.012       
1024        256       int32     prod      t         120.832002        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         40.780801         0.000         0.000       
8           2         int32     and       t         44.108799         0.000         0.000       
16          4         int32     and       t         42.246401         0.000         0.001       
32          8         int32     and       t         42.304000         0.001         0.001       
64          16        int32     and       t         45.516801         0.001         0.003       
128         32        int32     and       t         52.262402         0.002         0.005       
256         64        int32     and       t         60.544002         0.004         0.008       
512         128       int32     and       t         81.395203         0.006         0.012       
1024        256       int32     and       t         124.172795        0.008         0.015       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         42.214400         0.000         0.000       
8           2         int32     or        t         44.076800         0.000         0.000       
16          4         int32     or        t         42.470399         0.000         0.001       
32          8         int32     or        t         43.923199         0.001         0.001       
64          16        int32     or        t         45.683199         0.001         0.003       
128         32        int32     or        t         50.457603         0.003         0.005       
256         64        int32     or        t         62.118399         0.004         0.008       
512         128       int32     or        t         81.836802         0.006         0.012       
1024        256       int32     or        t         124.236798        0.008         0.015       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         42.182401         0.000         0.000       
8           2         int32     xor       t         43.763199         0.000         0.000       
16          4         int32     xor       t         42.464000         0.000         0.001       
32          8         int32     xor       t         43.904001         0.001         0.001       
64          16        int32     xor       t         45.555201         0.001         0.003       
128         32        int32     xor       t         50.367999         0.003         0.005       
256         64        int32     xor       t         62.239999         0.004         0.008       
512         128       int32     xor       t         83.398402         0.006         0.012       
1024        256       int32     xor       t         122.611201        0.008         0.016       
#device_reduction
