Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     or        t         61.014402         0.002         0.002       
256         32        int64     or        t         60.316801         0.004         0.004       
512         64        int64     or        t         59.929597         0.009         0.008       
1024        128       int64     or        t         59.987199         0.017         0.016       
2048        256       int64     or        t         61.199999         0.033         0.031       
4096        512       int64     or        t         60.431999         0.068         0.064       
8192        1024      int64     or        t         60.230398         0.136         0.128       
16384       2048      int64     or        t         59.673601         0.275         0.257       
32768       4096      int64     or        t         60.832000         0.539         0.505       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     xor       t         61.132801         0.002         0.002       
256         32        int64     xor       t         60.505599         0.004         0.004       
512         64        int64     xor       t         60.131198         0.009         0.008       
1024        128       int64     xor       t         60.127997         0.017         0.016       
2048        256       int64     xor       t         59.072000         0.035         0.033       
4096        512       int64     xor       t         61.375999         0.067         0.063       
8192        1024      int64     xor       t         59.744000         0.137         0.129       
16384       2048      int64     xor       t         60.864002         0.269         0.252       
32768       4096      int64     xor       t         61.932802         0.529         0.496       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     min       t         61.526400         0.002         0.002       
256         32        int64     min       t         60.031998         0.004         0.004       
512         64        int64     min       t         60.467201         0.008         0.008       
1024        128       int64     min       t         60.579199         0.017         0.016       
2048        256       int64     min       t         60.351998         0.034         0.032       
4096        512       int64     min       t         59.862399         0.068         0.064       
8192        1024      int64     min       t         60.236800         0.136         0.127       
16384       2048      int64     min       t         60.755199         0.270         0.253       
32768       4096      int64     min       t         59.939200         0.547         0.513       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     max       t         60.694402         0.002         0.002       
256         32        int64     max       t         60.633600         0.004         0.004       
512         64        int64     max       t         60.368001         0.008         0.008       
1024        128       int64     max       t         59.830397         0.017         0.016       
2048        256       int64     max       t         60.067201         0.034         0.032       
4096        512       int64     max       t         60.003197         0.068         0.064       
8192        1024      int64     max       t         59.606397         0.137         0.129       
16384       2048      int64     max       t         60.521603         0.271         0.254       
32768       4096      int64     max       t         59.948802         0.547         0.512       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     sum       w         61.843199         0.001         0.001       
128         32        int32     sum       w         61.881602         0.002         0.002       
256         64        int32     sum       w         61.516798         0.004         0.004       
512         128       int32     sum       w         61.641598         0.008         0.008       
1024        256       int32     sum       w         61.814398         0.017         0.016       
2048        512       int32     sum       w         61.852801         0.033         0.031       
4096        1024      int32     sum       w         62.153602         0.066         0.062       
8192        2048      int32     sum       w         61.827201         0.132         0.124       
16384       4096      int32     sum       w         61.513603         0.266         0.250       
32768       8192      int32     sum       w         80.111998         0.409         0.383       
65536       16384     int32     sum       w         63.686401         1.029         0.965       
131072      32768     int32     sum       w         62.054402         2.112         1.980       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     prod      w         61.343998         0.001         0.001       
128         32        int32     prod      w         61.471999         0.002         0.002       
256         64        int32     prod      w         62.185597         0.004         0.004       
512         128       int32     prod      w         61.119998         0.008         0.008       
1024        256       int32     prod      w         60.617602         0.017         0.016       
2048        512       int32     prod      w         61.139202         0.033         0.031       
4096        1024      int32     prod      w         60.688001         0.067         0.063       
8192        2048      int32     prod      w         61.423999         0.133         0.125       
16384       4096      int32     prod      w         61.151999         0.268         0.251       
32768       8192      int32     prod      w         62.076801         0.528         0.495       
65536       16384     int32     prod      w         62.335998         1.051         0.986       
131072      32768     int32     prod      w         62.214398         2.107         1.975       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     and       w         61.740798         0.001         0.001       
128         32        int32     and       w         61.939198         0.002         0.002       
256         64        int32     and       w         62.393600         0.004         0.004       
512         128       int32     and       w         61.785603         0.008         0.008       
1024        256       int32     and       w         62.620801         0.016         0.015       
2048        512       int32     and       w         61.776000         0.033         0.031       
4096        1024      int32     and       w         62.268800         0.066         0.062       
8192        2048      int32     and       w         61.363202         0.134         0.125       
16384       4096      int32     and       w         63.072002         0.260         0.244       
32768       8192      int32     and       w         61.596799         0.532         0.499       
65536       16384     int32     and       w         62.915200         1.042         0.977       
131072      32768     int32     and       w         62.073600         2.112         1.980       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     or        w         61.324799         0.001         0.001       
128         32        int32     or        w         62.214398         0.002         0.002       
256         64        int32     or        w         61.612803         0.004         0.004       
512         128       int32     or        w         61.184001         0.008         0.008       
1024        256       int32     or        w         62.771201         0.016         0.015       
2048        512       int32     or        w         61.500800         0.033         0.031       
4096        1024      int32     or        w         62.531197         0.066         0.061       
8192        2048      int32     or        w         61.763197         0.133         0.124       
16384       4096      int32     or        w         63.369602         0.259         0.242       
