Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     or        t         13.984001         0.005         0.008       
128         16        int64     or        t         17.382400         0.007         0.013       
256         32        int64     or        t         23.846400         0.011         0.019       
512         64        int64     or        t         35.545599         0.014         0.025       
1024        128       int64     or        t         58.425599         0.018         0.031       
2048        256       int64     or        t         105.760002        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       t         12.428800         0.001         0.001       
16          2         int64     xor       t         12.473600         0.001         0.002       
32          4         int64     xor       t         14.265600         0.002         0.004       
64          8         int64     xor       t         15.859200         0.004         0.007       
128         16        int64     xor       t         17.324799         0.007         0.013       
256         32        int64     xor       t         24.102400         0.011         0.019       
512         64        int64     xor       t         35.379201         0.014         0.025       
1024        128       int64     xor       t         58.464003         0.018         0.031       
2048        256       int64     xor       t         105.881596        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       t         12.460800         0.001         0.001       
16          2         int64     min       t         12.454400         0.001         0.002       
32          4         int64     min       t         14.112000         0.002         0.004       
64          8         int64     min       t         15.705600         0.004         0.007       
128         16        int64     min       t         17.548800         0.007         0.013       
256         32        int64     min       t         23.884800         0.011         0.019       
512         64        int64     min       t         37.055999         0.014         0.024       
1024        128       int64     min       t         60.012800         0.017         0.030       
2048        256       int64     min       t         110.905600        0.018         0.032       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       t         12.467200         0.001         0.001       
16          2         int64     max       t         12.435200         0.001         0.002       
32          4         int64     max       t         14.041600         0.002         0.004       
64          8         int64     max       t         14.291200         0.004         0.008       
128         16        int64     max       t         17.440000         0.007         0.013       
256         32        int64     max       t         24.096000         0.011         0.019       
512         64        int64     max       t         35.443199         0.014         0.025       
1024        128       int64     max       t         59.987199         0.017         0.030       
2048        256       int64     max       t         110.867202        0.018         0.032       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       w         12.556800         0.000         0.001       
8           2         int32     sum       w         12.569600         0.001         0.001       
16          4         int32     sum       w         12.505600         0.001         0.002       
32          8         int32     sum       w         12.403200         0.003         0.005       
64          16        int32     sum       w         12.633599         0.005         0.009       
128         32        int32     sum       w         12.537600         0.010         0.018       
256         64        int32     sum       w         13.753600         0.019         0.033       
512         128       int32     sum       w         15.680000         0.033         0.057       
1024        256       int32     sum       w         18.937600         0.054         0.095       
2048        512       int32     sum       w         27.340800         0.075         0.131       
4096        1024      int32     sum       w         41.990399         0.098         0.171       
8192        2048      int32     sum       w         73.017597         0.112         0.196       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      w         13.139200         0.000         0.001       
8           2         int32     prod      w         12.569600         0.001         0.001       
16          4         int32     prod      w         14.227200         0.001         0.002       
32          8         int32     prod      w         13.798399         0.002         0.004       
64          16        int32     prod      w         12.422400         0.005         0.009       
128         32        int32     prod      w         12.384000         0.010         0.018       
256         64        int32     prod      w         14.124800         0.018         0.032       
512         128       int32     prod      w         15.795200         0.032         0.057       
1024        256       int32     prod      w         19.174400         0.053         0.093       
2048        512       int32     prod      w         27.232000         0.075         0.132       
4096        1024      int32     prod      w         43.558401         0.094         0.165       
8192        2048      int32     prod      w         73.011202         0.112         0.196       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       w         12.422400         0.000         0.001       
8           2         int32     and       w         12.729600         0.001         0.001       
16          4         int32     and       w         12.435200         0.001         0.002       
32          8         int32     and       w         12.492800         0.003         0.004       
64          16        int32     and       w         12.441600         0.005         0.009       
128         32        int32     and       w         12.550400         0.010         0.018       
256         64        int32     and       w         14.112000         0.018         0.032       
512         128       int32     and       w         15.635200         0.033         0.057       
1024        256       int32     and       w         18.911999         0.054         0.095       
2048        512       int32     and       w         27.263999         0.075         0.131       
4096        1024      int32     and       w         42.035201         0.097         0.171       
8192        2048      int32     and       w         73.107201         0.112         0.196       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        w         12.390400         0.000         0.001       
8           2         int32     or        w         12.416000         0.001         0.001       
16          4         int32     or        w         12.499200         0.001         0.002       
32          8         int32     or        w         12.473600         0.003         0.004       
64          16        int32     or        w         12.505600         0.005         0.009       
128         32        int32     or        w         12.409600         0.010         0.018       
256         64        int32     or        w         13.971201         0.018         0.032       
512         128       int32     or        w         15.756799         0.032         0.057       
1024        256       int32     or        w         19.155200         0.053         0.094       
2048        512       int32     or        w         27.212799         0.075         0.132       
4096        1024      int32     or        w         41.907200         0.098         0.171       
8192        2048      int32     or        w         73.100799         0.112         0.196       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       w         12.441600         0.000         0.001       
8           2         int32     xor       w         14.137600         0.001         0.001       
16          4         int32     xor       w         12.582400         0.001         0.002       
32          8         int32     xor       w         13.958400         0.002         0.004       
64          16        int32     xor       w         12.480000         0.005         0.009       
128         32        int32     xor       w         14.259200         0.009         0.016       
