Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 0 device name: NVIDIA H200 bus id: 25 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_p_bw
size(B)     scope     BW (GB/sec)     
4           None      0.001115        
8           None      0.002444        
16          None      0.004854        
32          None      0.009025        
64          None      0.013021        
128         None      0.015540        
256         None      0.018463        
512         None      0.019467        
1024        None      0.020013        
2048        None      0.020760        
4096        None      0.020846        
8192        None      0.020928        
16384       None      0.020926        
32768       None      0.020927        
65536       None      0.020974        
131072      None      0.020940        
262144      None      0.020912        
524288      None      0.020896        
1048576     None      0.020885        
2097152     None      0.020874        
4194304     None      0.020868        
8388608     None      0.020896        
16777216    None      0.020893        
33554432    None      0.020925        
