Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         45.766401         0.000         0.000       
8           2         int32     sum       t         43.539199         0.000         0.000       
16          4         int32     sum       t         42.233601         0.000         0.001       
32          8         int32     sum       t         41.932800         0.001         0.001       
64          16        int32     sum       t         45.190400         0.001         0.003       
128         32        int32     sum       t         51.692802         0.002         0.005       
256         64        int32     sum       t         59.948802         0.004         0.008       
512         128       int32     sum       t         84.556800         0.006         0.011       
1024        256       int32     sum       t         122.374403        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         43.513599         0.000         0.000       
8           2         int32     prod      t         42.080000         0.000         0.000       
16          4         int32     prod      t         42.016000         0.000         0.001       
32          8         int32     prod      t         41.907200         0.001         0.001       
64          16        int32     prod      t         46.886399         0.001         0.003       
128         32        int32     prod      t         51.942402         0.002         0.005       
256         64        int32     prod      t         61.574399         0.004         0.008       
512         128       int32     prod      t         82.803202         0.006         0.012       
1024        256       int32     prod      t         122.182405        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         43.705601         0.000         0.000       
8           2         int32     and       t         42.048001         0.000         0.000       
16          4         int32     and       t         43.590400         0.000         0.001       
32          8         int32     and       t         41.894400         0.001         0.001       
64          16        int32     and       t         46.835199         0.001         0.003       
