Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     or        t         5.478400          0.012         0.010       
128         16        int64     or        t         5.545600          0.023         0.020       
256         32        int64     or        t         5.795200          0.044         0.039       
512         64        int64     or        t         5.497600          0.093         0.081       
1024        128       int64     or        t         5.436800          0.188         0.165       
2048        256       int64     or        t         5.491200          0.373         0.326       
4096        512       int64     or        t         5.804800          0.706         0.617       
8192        1024      int64     or        t         5.468800          1.498         1.311       
16384       2048      int64     or        t         5.491200          2.984         2.611       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     xor       t         5.433600          0.012         0.010       
128         16        int64     xor       t         5.440000          0.024         0.021       
256         32        int64     xor       t         5.520000          0.046         0.041       
512         64        int64     xor       t         5.478400          0.093         0.082       
1024        128       int64     xor       t         5.443200          0.188         0.165       
2048        256       int64     xor       t         5.478400          0.374         0.327       
4096        512       int64     xor       t         5.417600          0.756         0.662       
8192        1024      int64     xor       t         5.424000          1.510         1.322       
16384       2048      int64     xor       t         5.564800          2.944         2.576       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     min       t         5.456000          0.012         0.010       
128         16        int64     min       t         5.449600          0.023         0.021       
256         32        int64     min       t         5.395200          0.047         0.042       
512         64        int64     min       t         5.513600          0.093         0.081       
1024        128       int64     min       t         5.523200          0.185         0.162       
2048        256       int64     min       t         5.494400          0.373         0.326       
4096        512       int64     min       t         5.414400          0.757         0.662       
8192        1024      int64     min       t         5.440000          1.506         1.318       
16384       2048      int64     min       t         5.881600          2.786         2.437       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     max       t         5.609600          0.011         0.010       
128         16        int64     max       t         5.545600          0.023         0.020       
256         32        int64     max       t         5.478400          0.047         0.041       
512         64        int64     max       t         5.644800          0.091         0.079       
1024        128       int64     max       t         5.632000          0.182         0.159       
2048        256       int64     max       t         5.478400          0.374         0.327       
4096        512       int64     max       t         5.497600          0.745         0.652       
8192        1024      int64     max       t         5.468800          1.498         1.311       
16384       2048      int64     max       t         5.478400          2.991         2.617       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     sum       w         6.384000          0.005         0.004       
64          16        int32     sum       w         6.473600          0.010         0.009       
128         32        int32     sum       w         6.764800          0.019         0.017       
256         64        int32     sum       w         6.364800          0.040         0.035       
512         128       int32     sum       w         6.320000          0.081         0.071       
1024        256       int32     sum       w         6.464000          0.158         0.139       
2048        512       int32     sum       w         6.364800          0.322         0.282       
4096        1024      int32     sum       w         6.521600          0.628         0.550       
8192        2048      int32     sum       w         6.403200          1.279         1.119       
16384       4096      int32     sum       w         6.416000          2.554         2.234       
32768       8192      int32     sum       w         6.412800          5.110         4.471       
65536       16384     int32     sum       w         6.316800          10.375        9.078       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     prod      w         11.942400         0.003         0.002       
64          16        int32     prod      w         11.878400         0.005         0.005       
128         32        int32     prod      w         12.006400         0.011         0.009       
256         64        int32     prod      w         11.881600         0.022         0.019       
512         128       int32     prod      w         11.884800         0.043         0.038       
1024        256       int32     prod      w         11.891200         0.086         0.075       
2048        512       int32     prod      w         11.929600         0.172         0.150       
4096        1024      int32     prod      w         12.272000         0.334         0.292       
8192        2048      int32     prod      w         11.904000         0.688         0.602       
16384       4096      int32     prod      w         11.897600         1.377         1.205       
32768       8192      int32     prod      w         12.176000         2.691         2.355       
65536       16384     int32     prod      w         12.192000         5.375         4.703       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     and       w         6.656000          0.005         0.004       
64          16        int32     and       w         6.393600          0.010         0.009       
128         32        int32     and       w         6.380800          0.020         0.018       
256         64        int32     and       w         6.352000          0.040         0.035       
512         128       int32     and       w         6.358400          0.081         0.070       
1024        256       int32     and       w         6.444800          0.159         0.139       
2048        512       int32     and       w         6.435200          0.318         0.278       
4096        1024      int32     and       w         6.403200          0.640         0.560       
8192        2048      int32     and       w         6.499200          1.260         1.103       
16384       4096      int32     and       w         6.374400          2.570         2.249       
32768       8192      int32     and       w         6.486400          5.052         4.420       
65536       16384     int32     and       w         6.364800          10.297        9.010       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     or        w         6.524800          0.005         0.004       
64          16        int32     or        w         6.355200          0.010         0.009       
128         32        int32     or        w         6.425600          0.020         0.017       
256         64        int32     or        w         6.723200          0.038         0.033       
512         128       int32     or        w         6.310400          0.081         0.071       
1024        256       int32     or        w         6.726400          0.152         0.133       
2048        512       int32     or        w         6.307200          0.325         0.284       
4096        1024      int32     or        w         6.668800          0.614         0.537       
8192        2048      int32     or        w         6.438400          1.272         1.113       
16384       4096      int32     or        w         6.342400          2.583         2.260       
32768       8192      int32     or        w         6.377600          5.138         4.496       
65536       16384     int32     or        w         6.412800          10.220        8.942       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     xor       w         6.496000          0.005         0.004       
64          16        int32     xor       w         6.425600          0.010         0.009       
128         32        int32     xor       w         6.419200          0.020         0.017       
256         64        int32     xor       w         6.432000          0.040         0.035       
512         128       int32     xor       w         6.326400          0.081         0.071       
1024        256       int32     xor       w         6.374400          0.161         0.141       
2048        512       int32     xor       w         6.428800          0.319         0.279       
4096        1024      int32     xor       w         6.412800          0.639         0.559       
8192        2048      int32     xor       w         6.275200          1.305         1.142       
16384       4096      int32     xor       w         6.348800          2.581         2.258       
32768       8192      int32     xor       w         6.457600          5.074         4.440       
65536       16384     int32     xor       w         6.409600          10.225        8.947       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     min       w         6.377600          0.005         0.004       
64          16        int32     min       w         6.630400          0.010         0.008       
128         32        int32     min       w         6.544000          0.020         0.017       
256         64        int32     min       w         6.806400          0.038         0.033       
512         128       int32     min       w         6.412800          0.080         0.070       
1024        256       int32     min       w         6.329600          0.162         0.142       
2048        512       int32     min       w         6.297600          0.325         0.285       
4096        1024      int32     min       w         6.320000          0.648         0.567       
8192        2048      int32     min       w         6.502400          1.260         1.102       
16384       4096      int32     min       w         6.412800          2.555         2.236       
32768       8192      int32     min       w         6.336000          5.172         4.525       
65536       16384     int32     min       w         6.342400          10.333        9.041       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     max       w         6.425600          0.005         0.004       
64          16        int32     max       w         6.428800          0.010         0.009       
128         32        int32     max       w         6.358400          0.020         0.018       
256         64        int32     max       w         6.665600          0.038         0.034       
512         128       int32     max       w         6.812800          0.075         0.066       
1024        256       int32     max       w         6.387200          0.160         0.140       
2048        512       int32     max       w         6.454400          0.317         0.278       
4096        1024      int32     max       w         6.412800          0.639         0.559       
8192        2048      int32     max       w         6.368000          1.286         1.126       
16384       4096      int32     max       w         6.371200          2.572         2.250       
32768       8192      int32     max       w         6.444800          5.084         4.449       
65536       16384     int32     max       w         6.425600          10.199        8.924       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     sum       w         6.419200          0.010         0.009       
128         16        int64     sum       w         6.364800          0.020         0.018       
256         32        int64     sum       w         6.419200          0.040         0.035       
512         64        int64     sum       w         6.528000          0.078         0.069       
1024        128       int64     sum       w         6.377600          0.161         0.140       
2048        256       int64     sum       w         6.419200          0.319         0.279       
4096        512       int64     sum       w         6.323200          0.648         0.567       
8192        1024      int64     sum       w         6.409600          1.278         1.118       
16384       2048      int64     sum       w         6.480000          2.528         2.212       
32768       4096      int64     sum       w         6.499200          5.042         4.412       
65536       8192      int64     sum       w         6.348800          10.323        9.032       
131072      16384     int64     sum       w         6.361600          20.604        18.028      
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     prod      w         11.939200         0.005         0.005       
128         16        int64     prod      w         11.840000         0.011         0.009       
256         32        int64     prod      w         11.814400         0.022         0.019       
512         64        int64     prod      w         11.808000         0.043         0.038       
1024        128       int64     prod      w         12.217600         0.084         0.073       
2048        256       int64     prod      w         11.827200         0.173         0.152       
4096        512       int64     prod      w         11.827200         0.346         0.303       
8192        1024      int64     prod      w         11.859200         0.691         0.604       
16384       2048      int64     prod      w         11.836800         1.384         1.211       
32768       4096      int64     prod      w         11.769600         2.784         2.436       
65536       8192      int64     prod      w         11.811200         5.549         4.855       
131072      16384     int64     prod      w         11.814400         11.094        9.707       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     and       w         6.627200          0.010         0.008       
128         16        int64     and       w         6.355200          0.020         0.018       
256         32        int64     and       w         6.307200          0.041         0.036       
512         64        int64     and       w         6.899200          0.074         0.065       
1024        128       int64     and       w         6.505600          0.157         0.138       
2048        256       int64     and       w         6.275200          0.326         0.286       
4096        512       int64     and       w         6.572800          0.623         0.545       
8192        1024      int64     and       w         6.339200          1.292         1.131       
16384       2048      int64     and       w         6.604800          2.481         2.171       
32768       4096      int64     and       w         6.396800          5.123         4.482       
65536       8192      int64     and       w         6.284800          10.428        9.124       
131072      16384     int64     and       w         168.867195        0.776         0.679       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     or        w         6.364800          0.010         0.009       
128         16        int64     or        w         6.454400          0.020         0.017       
256         32        int64     or        w         6.368000          0.040         0.035       
512         64        int64     or        w         6.361600          0.080         0.070       
1024        128       int64     or        w         6.259200          0.164         0.143       
2048        256       int64     or        w         6.339200          0.323         0.283       
4096        512       int64     or        w         6.387200          0.641         0.561       
8192        1024      int64     or        w         6.409600          1.278         1.118       
16384       2048      int64     or        w         6.358400          2.577         2.255       
32768       4096      int64     or        w         6.406400          5.115         4.476       
65536       8192      int64     or        w         6.326400          10.359        9.064       
131072      16384     int64     or        w         6.406400          20.460        17.902      
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     xor       w         6.441600          0.010         0.009       
128         16        int64     xor       w         6.396800          0.020         0.018       
256         32        int64     xor       w         6.675200          0.038         0.034       
512         64        int64     xor       w         6.387200          0.080         0.070       
1024        128       int64     xor       w         6.406400          0.160         0.140       
2048        256       int64     xor       w         6.377600          0.321         0.281       
4096        512       int64     xor       w         6.339200          0.646         0.565       
8192        1024      int64     xor       w         6.380800          1.284         1.123       
16384       2048      int64     xor       w         6.294400          2.603         2.278       
32768       4096      int64     xor       w         6.467200          5.067         4.433       
65536       8192      int64     xor       w         6.403200          10.235        8.956       
131072      16384     int64     xor       w         6.371200          20.573        18.001      
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     min       w         6.313600          0.010         0.009       
128         16        int64     min       w         6.348800          0.020         0.018       
256         32        int64     min       w         6.435200          0.040         0.035       
512         64        int64     min       w         6.451200          0.079         0.069       
1024        128       int64     min       w         6.716800          0.152         0.133       
2048        256       int64     min       w         6.726400          0.304         0.266       
4096        512       int64     min       w         6.300800          0.650         0.569       
8192        1024      int64     min       w         6.803200          1.204         1.054       
16384       2048      int64     min       w         6.316800          2.594         2.270       
32768       4096      int64     min       w         6.627200          4.944         4.326       
65536       8192      int64     min       w         6.419200          10.209        8.933       
131072      16384     int64     min       w         6.556800          19.990        17.491      
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     max       w         6.323200          0.010         0.009       
128         16        int64     max       w         6.374400          0.020         0.018       
256         32        int64     max       w         6.307200          0.041         0.036       
512         64        int64     max       w         6.332800          0.081         0.071       
1024        128       int64     max       w         6.422400          0.159         0.140       
2048        256       int64     max       w         6.358400          0.322         0.282       
4096        512       int64     max       w         6.288000          0.651         0.570       
8192        1024      int64     max       w         6.489600          1.262         1.105       
16384       2048      int64     max       w         6.323200          2.591         2.267       
32768       4096      int64     max       w         6.480000          5.057         4.425       
65536       8192      int64     max       w         6.368000          10.291        9.005       
131072      16384     int64     max       w         6.345600          20.656        18.074      
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     sum       b         4.569600          0.007         0.006       
64          16        int32     sum       b         4.576000          0.014         0.012       
128         32        int32     sum       b         4.771200          0.027         0.023       
256         64        int32     sum       b         4.691200          0.055         0.048       
512         128       int32     sum       b         4.515200          0.113         0.099       
1024        256       int32     sum       b         4.672000          0.219         0.192       
2048        512       int32     sum       b         4.512000          0.454         0.397       
4096        1024      int32     sum       b         4.604800          0.890         0.778       
8192        2048      int32     sum       b         4.608000          1.778         1.556       
16384       4096      int32     sum       b         4.864000          3.368         2.947       
32768       8192      int32     sum       b         4.553600          7.196         6.297       
65536       16384     int32     sum       b         4.544000          14.423        12.620      
131072      32768     int32     sum       b         4.572800          28.663        25.080      
262144      65536     int32     sum       b         4.553600          57.569        50.372      
524288      131072    int32     sum       b         4.512000          116.199       101.674     
1048576     262144    int32     sum       b         4.550400          230.436       201.632     
2097152     524288    int32     sum       b         4.512000          464.794       406.695     
4194304     1048576   int32     sum       b         4.979200          842.365       737.069     
8388608     2097152   int32     sum       b         4.636800          1809.137      1582.995    
16777216    4194304   int32     sum       b         4.832000          3472.106      3038.093    
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     prod      b         10.121600         0.003         0.003       
64          16        int32     prod      b         10.585600         0.006         0.005       
128         32        int32     prod      b         10.073600         0.013         0.011       
256         64        int32     prod      b         10.124800         0.025         0.022       
512         128       int32     prod      b         10.105600         0.051         0.044       
1024        256       int32     prod      b         10.048000         0.102         0.089       
2048        512       int32     prod      b         10.160000         0.202         0.176       
4096        1024      int32     prod      b         10.278400         0.399         0.349       
8192        2048      int32     prod      b         10.057600         0.815         0.713       
16384       4096      int32     prod      b         10.060800         1.628         1.425       
32768       8192      int32     prod      b         10.080000         3.251         2.844       
65536       16384     int32     prod      b         10.144000         6.461         5.653       
131072      32768     int32     prod      b         10.259200         12.776        11.179      
262144      65536     int32     prod      b         10.124800         25.891        22.655      
524288      131072    int32     prod      b         10.118400         51.815        45.338      
1048576     262144    int32     prod      b         10.134400         103.467       90.534      
2097152     524288    int32     prod      b         10.137600         206.869       181.010     
4194304     1048576   int32     prod      b         10.227200         410.113       358.849     
8388608     2097152   int32     prod      b         10.041600         835.386       730.962     
16777216    4194304   int32     prod      b         10.460800         1603.818      1403.340    
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     and       b         4.518400          0.007         0.006       
64          16        int32     and       b         4.620800          0.014         0.012       
128         32        int32     and       b         4.588800          0.028         0.024       
256         64        int32     and       b         4.560000          0.056         0.049       
512         128       int32     and       b         4.502400          0.114         0.100       
1024        256       int32     and       b         4.739200          0.216         0.189       
2048        512       int32     and       b         4.560000          0.449         0.393       
4096        1024      int32     and       b         4.627200          0.885         0.775       
8192        2048      int32     and       b         4.540800          1.804         1.579       
16384       4096      int32     and       b         4.569600          3.585         3.137       
32768       8192      int32     and       b         4.550400          7.201         6.301       
65536       16384     int32     and       b         4.656000          14.076        12.316      
131072      32768     int32     and       b         4.585600          28.583        25.010      
262144      65536     int32     and       b         4.521600          57.976        50.729      
524288      131072    int32     and       b         4.537600          115.543       101.100     
1048576     262144    int32     and       b         4.502400          232.893       203.781     
2097152     524288    int32     and       b         4.912000          426.945       373.577     
4194304     1048576   int32     and       b         4.681600          895.913       783.923     
8388608     2097152   int32     and       b         4.844800          1731.466      1515.033    
16777216    4194304   int32     and       b         4.515200          3715.719      3251.254    
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     or        b         4.540800          0.007         0.006       
64          16        int32     or        b         4.659200          0.014         0.012       
128         32        int32     or        b         4.832000          0.026         0.023       
256         64        int32     or        b         4.569600          0.056         0.049       
512         128       int32     or        b         4.521600          0.113         0.099       
1024        256       int32     or        b         4.620800          0.222         0.194       
2048        512       int32     or        b         4.595200          0.446         0.390       
4096        1024      int32     or        b         4.566400          0.897         0.785       
8192        2048      int32     or        b         4.560000          1.796         1.572       
16384       4096      int32     or        b         4.524800          3.621         3.168       
32768       8192      int32     or        b         4.870400          6.728         5.887       
65536       16384     int32     or        b         4.873600          13.447        11.766      
131072      32768     int32     or        b         4.518400          29.008        25.382      
262144      65536     int32     or        b         4.566400          57.407        50.231      
524288      131072    int32     or        b         4.451200          117.786       103.063     
1048576     262144    int32     or        b         4.630400          226.455       198.148     
2097152     524288    int32     or        b         4.720000          444.312       388.773     
4194304     1048576   int32     or        b         4.598400          912.122       798.107     
8388608     2097152   int32     or        b         4.624000          1814.145      1587.377    
16777216    4194304   int32     or        b         4.569600          3671.484      3212.549    
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     xor       b         4.592000          0.007         0.006       
64          16        int32     xor       b         4.598400          0.014         0.012       
128         32        int32     xor       b         4.812800          0.027         0.023       
256         64        int32     xor       b         4.540800          0.056         0.049       
512         128       int32     xor       b         4.528000          0.113         0.099       
1024        256       int32     xor       b         4.598400          0.223         0.195       
2048        512       int32     xor       b         4.630400          0.442         0.387       
