Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     or        t         61.529601         0.002         0.002       
256         32        int64     or        t         61.516798         0.004         0.004       
512         64        int64     or        t         62.009603         0.008         0.008       
1024        128       int64     or        t         62.406403         0.016         0.015       
2048        256       int64     or        t         61.260802         0.033         0.031       
4096        512       int64     or        t         61.375999         0.067         0.063       
8192        1024      int64     or        t         61.788797         0.133         0.124       
16384       2048      int64     or        t         60.582399         0.270         0.254       
32768       4096      int64     or        t         61.862397         0.530         0.497       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     xor       t         61.695999         0.002         0.002       
256         32        int64     xor       t         61.350399         0.004         0.004       
512         64        int64     xor       t         61.088002         0.008         0.008       
1024        128       int64     xor       t         62.457597         0.016         0.015       
2048        256       int64     xor       t         60.912001         0.034         0.032       
4096        512       int64     xor       t         61.680001         0.066         0.062       
8192        1024      int64     xor       t         60.937601         0.134         0.126       
16384       2048      int64     xor       t         61.199999         0.268         0.251       
32768       4096      int64     xor       t         60.950398         0.538         0.504       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     min       t         61.433601         0.002         0.002       
256         32        int64     min       t         61.100799         0.004         0.004       
512         64        int64     min       t         61.139202         0.008         0.008       
1024        128       int64     min       t         62.159997         0.016         0.015       
2048        256       int64     min       t         61.609602         0.033         0.031       
4096        512       int64     min       t         60.819203         0.067         0.063       
8192        1024      int64     min       t         61.763197         0.133         0.124       
16384       2048      int64     min       t         61.321598         0.267         0.250       
32768       4096      int64     min       t         61.910403         0.529         0.496       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     max       t         61.216003         0.002         0.002       
256         32        int64     max       t         62.281603         0.004         0.004       
512         64        int64     max       t         60.838401         0.008         0.008       
1024        128       int64     max       t         62.028801         0.017         0.015       
2048        256       int64     max       t         62.153602         0.033         0.031       
4096        512       int64     max       t         61.027199         0.067         0.063       
8192        1024      int64     max       t         60.819203         0.135         0.126       
16384       2048      int64     max       t         62.335998         0.263         0.246       
32768       4096      int64     max       t         61.718398         0.531         0.498       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     sum       w         63.270402         0.001         0.001       
128         32        int32     sum       w         62.828797         0.002         0.002       
256         64        int32     sum       w         62.505603         0.004         0.004       
512         128       int32     sum       w         63.241601         0.008         0.008       
1024        256       int32     sum       w         63.187200         0.016         0.015       
2048        512       int32     sum       w         62.857598         0.033         0.031       
4096        1024      int32     sum       w         63.168001         0.065         0.061       
8192        2048      int32     sum       w         62.463999         0.131         0.123       
16384       4096      int32     sum       w         62.857598         0.261         0.244       
32768       8192      int32     sum       w         66.099203         0.496         0.465       
65536       16384     int32     sum       w         63.446403         1.033         0.968       
131072      32768     int32     sum       w         63.612801         2.060         1.932       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     prod      w         62.540799         0.001         0.001       
128         32        int32     prod      w         62.870401         0.002         0.002       
256         64        int32     prod      w         63.292801         0.004         0.004       
512         128       int32     prod      w         63.574398         0.008         0.008       
1024        256       int32     prod      w         63.094401         0.016         0.015       
2048        512       int32     prod      w         63.385600         0.032         0.030       
4096        1024      int32     prod      w         63.248003         0.065         0.061       
8192        2048      int32     prod      w         63.212800         0.130         0.121       
16384       4096      int32     prod      w         62.655997         0.261         0.245       
32768       8192      int32     prod      w         62.556797         0.524         0.491       
65536       16384     int32     prod      w         63.808000         1.027         0.963       
131072      32768     int32     prod      w         62.528002         2.096         1.965       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     and       w         64.588797         0.001         0.001       
128         32        int32     and       w         62.313598         0.002         0.002       
256         64        int32     and       w         63.299203         0.004         0.004       
512         128       int32     and       w         62.672001         0.008         0.008       
1024        256       int32     and       w         62.713599         0.016         0.015       
2048        512       int32     and       w         63.987201         0.032         0.030       
4096        1024      int32     and       w         62.716800         0.065         0.061       
