Runtime options after parsing command line arguments 
min_size: 4, max_size: 16777216, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 0 device name: NVIDIA H200 bus id: 25 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 16777216, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_get_bw_uni
size(B)     scope     BW (GB/sec)     
4           None      0.001865        
8           None      0.003766        
16          None      0.007465        
32          None      0.015001        
64          None      0.030285        
128         None      0.060368        
256         None      0.013545        
512         None      0.027418        
1024        None      0.053462        
2048        None      0.107404        
4096        None      0.215227        
8192        None      0.429761        
16384       None      0.862127        
32768       None      1.728854        
65536       None      3.446187        
131072      None      6.503445        
262144      None      12.825250       
524288      None      23.722923       
1048576     None      36.235764       
2097152     None      39.531910       
4194304     None      40.709385       
8388608     None      41.292664       
16777216    None      41.571030       
