Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         13.427199         0.000         0.001       
8           2         int32     sum       t         12.652799         0.001         0.001       
16          4         int32     sum       t         12.940800         0.001         0.002       
32          8         int32     sum       t         14.380801         0.002         0.004       
64          16        int32     sum       t         17.011200         0.004         0.007       
128         32        int32     sum       t         19.379200         0.007         0.012       
256         64        int32     sum       t         27.558401         0.009         0.016       
512         128       int32     sum       t         43.820801         0.012         0.020       
1024        256       int32     sum       t         76.652801         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         12.729600         0.000         0.001       
8           2         int32     prod      t         12.691200         0.001         0.001       
16          4         int32     prod      t         12.665600         0.001         0.002       
32          8         int32     prod      t         14.387199         0.002         0.004       
64          16        int32     prod      t         16.102400         0.004         0.007       
128         32        int32     prod      t         19.417600         0.007         0.012       
256         64        int32     prod      t         27.404800         0.009         0.016       
512         128       int32     prod      t         45.459199         0.011         0.020       
1024        256       int32     prod      t         78.214401         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.755200         0.000         0.001       
8           2         int32     and       t         12.896000         0.001         0.001       
16          4         int32     and       t         12.627199         0.001         0.002       
32          8         int32     and       t         14.355201         0.002         0.004       
64          16        int32     and       t         16.051200         0.004         0.007       
128         32        int32     and       t         19.340800         0.007         0.012       
256         64        int32     and       t         27.692801         0.009         0.016       
512         128       int32     and       t         45.376000         0.011         0.020       
1024        256       int32     and       t         76.704001         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         12.601601         0.000         0.001       
8           2         int32     or        t         12.774400         0.001         0.001       
16          4         int32     or        t         12.825599         0.001         0.002       
32          8         int32     or        t         14.272000         0.002         0.004       
64          16        int32     or        t         16.051200         0.004         0.007       
128         32        int32     or        t         19.174400         0.007         0.012       
256         64        int32     or        t         27.552000         0.009         0.016       
512         128       int32     or        t         45.222399         0.011         0.020       
1024        256       int32     or        t         78.272003         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         14.393599         0.000         0.000       
8           2         int32     xor       t         12.710400         0.001         0.001       
16          4         int32     xor       t         12.908800         0.001         0.002       
32          8         int32     xor       t         14.521600         0.002         0.004       
64          16        int32     xor       t         16.076800         0.004         0.007       
128         32        int32     xor       t         19.334400         0.007         0.012       
256         64        int32     xor       t         27.660799         0.009         0.016       
