Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     or        t         13.648000         0.005         0.008       
128         16        int64     or        t         16.924800         0.008         0.013       
256         32        int64     or        t         22.662400         0.011         0.020       
512         64        int64     or        t         34.134400         0.015         0.026       
1024        128       int64     or        t         57.903999         0.018         0.031       
2048        256       int64     or        t         106.185603        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       t         11.964800         0.001         0.001       
16          2         int64     xor       t         12.003200         0.001         0.002       
32          4         int64     xor       t         12.940800         0.002         0.004       
64          8         int64     xor       t         13.728000         0.005         0.008       
128         16        int64     xor       t         16.147199         0.008         0.014       
256         32        int64     xor       t         22.678401         0.011         0.020       
512         64        int64     xor       t         34.057599         0.015         0.026       
1024        128       int64     xor       t         57.955199         0.018         0.031       
2048        256       int64     xor       t         106.214404        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       t         12.787201         0.001         0.001       
16          2         int64     min       t         12.022400         0.001         0.002       
32          4         int64     min       t         12.022400         0.003         0.005       
64          8         int64     min       t         13.753600         0.005         0.008       
128         16        int64     min       t         16.950400         0.008         0.013       
256         32        int64     min       t         23.398399         0.011         0.019       
512         64        int64     min       t         35.788801         0.014         0.025       
1024        128       int64     min       t         60.252798         0.017         0.030       
